section-result-title,section-result-details,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-location,section-result-description,section-result-info,e0HygkTYhQy__attribute-content,section-result-info 2
Ahbwu Fastfood,Restaurant,4.1,(981),,Cebu City,Fast-food chain for Mexican classics,Open until 9:00 pm,Delivery · Takeaway,
Bon Chon Chicken,Fast Food,4.1,(15),₱₱,"Mabolo, Cebu City",Korean fried chicken specialist,Open until 9:00 pm,Delivery · Takeaway,
Norway Fastfood,Restaurant,3.7,(757),,Cebu City,Fast-food chain for Mexican classics,Opens at 6:00 am,Delivery,Closed
Chowking,Fast Food,3.9,(21),₱,Cebu City,Fast-food chain for grilled burgers,Open until 5:00 pm,Delivery · Takeaway,Temporarily closed
Cozy Corner Fastfood Inn,Fast Food,3.9,(12),,Guihulngan City,Celebrated 1950s fast-food joint,Open until 7:30 pm,Takeaway,Temporarily closed
Prito Kings,Fast Food,2.0,(1),,Cebu City,Fast-food chain with Filipino flavors,Open until 11:59 pm,Delivery,
Cebu Fastfood,Fast Food,4.0,(18),,,Quick stop for familiar Chinese fare,Opens at 12:00 am,Delivery,Closed
Triple V Express Fastfood,Fast Food,3.9,(265),,,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery,
McDonald's,Fast Food,4.0,(57),₱,Cebu City,Iconic fast-food burger & fries chain,Open until 8:00 pm,Delivery,Temporarily closed
"Mary's Food formerly known as ""Kam n' Kat Fastfood""",Filipino,3.0,(2),,Sanciangko St,Fast-food chain with Filipino flavors,Open until 8:00 pm,Takeaway,
McDonald's,Fast Food,4.1,(215),₱,Colon St,Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery,
Zhar Fastfood And Catering Services,Restaurant,2.2,(6),,V Rama Ave,Fast-food chain with Filipino flavors,Open until 8:30 pm,Delivery,Temporarily closed
McDonald's,Fast Food,4.1,(534),₱,Cebu N Rd,Iconic fast-food burger & fries chain,Open until 5:00 pm,Delivery · Takeaway,Closed
McDonald's,Fast Food,3.9,(418),₱,"The Walk, Abad St",Iconic fast-food burger & fries chain,Open until 8:00 pm,Delivery,
Burger King,Fast Food,4.1,(61),₱₱,"Cebu SM Seaside, Lower Ground Floor, SM Seaside City Cebu, South Coastal Road corner Mambaling Extension, South Road Properties",Fast-food chain for grilled burgers,Opens at 1:30 pm,Delivery,Closed
McDonald's,Fast Food,3.7,(202),₱,"Cebu IT Tower, 1,Arch, G/F Archbishop Reyes Ave",Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery · Takeaway,Closed
McDonald's,Fast Food,4.1,(186),₱,V.Albano,Iconic fast-food burger & fries chain,Opens at 6:00 am,Delivery,Closed
"Merzci Murcia 2 - Bakeshop, Fastfood and Pasalubong",Fast Food,4.2,(287),,Dinsay St,Counter-serve Mediterranean restaurant,Open until 8:00 pm,Takeaway,Temporarily closed
McDonald's,Fast Food,4.0,(576),₱,"Hi-Way, M.L. Quezon National Highway",Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery,Closed
Shevan Fast Food,Fast Food,4.5,(2),,122 Junquera Ext,Fast-food chain for chicken sandwiches,Open until 10:00 pm,Takeaway,Closed
McDonald's,Fast Food,3.8,(253),₱,"Aegis Tower, G/F, I. Villa St",Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery · Takeaway,
McDonald's,Fast Food,4.1,(561),₱,"NH1, National Hwy",Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery · Takeaway,
McDonald's,Fast Food,4.0,(277),₱,"JY Square Mall, G/F, 1 Salinas Dr",Iconic fast-food burger & fries chain,Opens at 6:00 am,Delivery · Takeaway,Closed
Burger King,Fast Food,4.1,(395),,"Vibo Place, Cebu Escario, Axis Entertainment Avenue, N Escario St",Fast-food chain for grilled burgers,Open until 5:00 pm,Delivery · Takeaway,Temporarily closed
Chowking,Fast Food,4.0,(41),₱,"Colon Development Bldg. Osmeña cor. Zamora, Cebu City",Celebrated 1950s fast-food joint,Open until 7:30 pm,Takeaway,Temporarily closed
Jollibee,Fast Food,4.2,(11),₱,Santo Niño St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Lola Inda Fast Food,Fast Food,1.0,(1),,F. Ramos St,Quick stop for familiar Chinese fare,Open until 7:30 pm,Delivery,Temporarily closed
Jollibee,Fast Food,4.2,(429),₱,,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery · Takeaway,
McDonald's,Fast Food,4.1,(477),₱,N Escario St,Iconic fast-food burger & fries chain,Open until 11:30 pm,Delivery · Takeaway,Temporarily closed
Jollibee,Fast Food,4.2,(143),₱,General Maxilom Ave,Fast-food chain with Filipino flavors,Open until 12:00 am,Delivery,
Nonie & Villa's fastfood & catering services,Restaurant,5.0,(2),,Anda Provincial Rd,Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery,
McDonald's,Fast Food,3.8,(403),₱,National Hwy,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,4.2,(361),₱,Cebu S Rd,Fast-food chain with Filipino flavors,Open until 5:00 pm,Takeaway,Closed
McDonald's,Fast Food,4.1,(360),₱,"Mambaling, Cebu S Rd",Iconic fast-food burger & fries chain,Open until 8:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.1,(599),₱,"East Plaza Arcade, N. B Natalio B. Bacalso S National Hwy",Fast-food chain with Filipino flavors,Opens at 1:30 pm,Delivery,Closed
Kanadara Restaurant,Fast Food,3.7,(202),,F Ramos Street,Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery · Takeaway,Closed
Orange Brutus,Fast Food,4.0,(5),,"Ground Floor, Elizabeth Mall Leon, Kilat Street",Iconic fast-food burger & fries chain,Open until 8:00 pm,Delivery,Closed
KFC,Fast Food,4.2,(95),₱,"17-C Barba Press Bldg., Jones Ave., Cebu City, Cebu",Fast-food fried chicken chain,Open until 10:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,4.2,(84),₱,,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery,Closed
Chowking,Fast Food,3.2,(13),₱,"G/F Gaisano Grand Mall of Mactan, Basak corner Agus Road, Lapu Lapu City Cebu",Fast-food chain for chicken sandwiches,Open until 7:00 pm,Takeaway,Closed
Jollibee,Fast Food,3.6,(53),₱,Aéroport international de Mactan-Cebu,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
S Food Star,Fast Food,5.0,(1),,Dr T.S. Kintanar St,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.1,(686),₱,"Hanson, 231 Dionisio Jakosalem St",Fast-food chain with Filipino flavors,Opens at 6:00 am,Delivery,Closed
Chowabungga,Fast Food,4.4,(230),,"GF i1 Building, Jose Maria del Mar St",Fast-food chain for grilled burgers,Opens at 5:00 pm,Delivery · Takeaway,Closed
Jollibee,Fast Food,4.1,(350),₱,M. C. Briones St,Fast-food chain with Filipino flavors,Open until 7:30 pm,Delivery,Temporarily closed
Burger King,Fast Food,4.1,(261),₱₱,"Cebu Business Park, Cebu Ayala, Level 4, Ayala Center, Archbishop Reyes Ave",Fast-food chain for grilled burgers,Open until 9:00 pm,Delivery,
Chowking,Fast Food,3.4,(92),₱,"solara, G/F, General Maxilom Ave",Quick stop for familiar Chinese fare,Open until 6:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,3.8,(210),₱,"L1, SKYRISE Beta, Samar Loop",Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
Jollibee,Fast Food,4.3,(211),₱,C Central Nautical Hwy,Fast-food chain with Filipino flavors,Open until 11:30 pm,Delivery,Temporarily closed
Jollibee,Fast Food,3.8,(192),₱,Island Central Mall,Fast-food chain with Filipino flavors,Open until 12:00 am,Delivery,
Jollibee P. Del Rosario (USC),Fast Food,4.2,(583),₱,"P. Del Rosario St., corner Pelaez, R. Landon Ext",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.0,(151),₱,"Grand Mall, Basak-Sisi-Agus Rd",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Jollibee SM L3,Fast Food,4.1,(178),₱,"114 Third Level, SM City North Reclamation Area, Juan Luna Extension, Kaohsiung St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
McDonald's,Fast Food,3.9,(148),₱,Cebu-Tubigon Bohol,Iconic fast-food burger & fries chain,Open until 11:59 pm,Delivery,
Jollibee,Fast Food,4.4,(157),₱,"E-Mall, N. Bacalso Ave Leon Kilat St",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Closed
Jollibee,Fast Food,4.2,(148),₱,"Gaisano Fiesta Mall, South National Highway",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery · Takeaway,Closed
Jollibee,Fast Food,4.2,(433),₱,"Park Mall, Ouano Avenue",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery · Takeaway,Closed
KFC,Fast Food,4.3,(3),₱,SM,Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,4.2,(165),₱,Ouano Avenue,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Jollibee,Fast Food,4.0,(45),₱,Gen. Maxilom Ext,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Lotching's Chinese Ngohiong,Fast Food,4.5,(11),,Tojong St,Fast-food chain with Filipino flavors,Open until 7:30 pm,Delivery · Takeaway,
Chowking,Fast Food,3.9,(234),₱,"Chatswood Residences, A. S. Fortuna St",Iconic fast-food burger & fries chain,Open until 7:00 pm,Delivery · Takeaway,
Chowking,Fast Food,3.7,(248),₱,V Rama Ave,Quick stop for familiar Chinese fare,Open until 6:00 pm,Delivery,Closed
Jollibee,Fast Food,4.1,(265),₱,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Jollibee,Fast Food,3.9,(113),₱,"st.,, Across, Basilica del Sto. Nino, Osmeña Boulevard, Osmeña Blvd",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,4.2,(659),₱,"National Highway, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee A.S. Fortuna,Fast Food,4.2,(204),₱,A. S. Fortuna St,Fast-food chain with Filipino flavors,Open until 6:00 pm,Delivery,Temporarily closed
Sinangag Station,Fast Food,4.0,(104),,N Escario St,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
Jollibee,Fast Food,4.0,(81),₱,"Toledo Commercial Arcade, Poblacion",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Orange Brutus,Fast Food,3.4,(5),,Osmeña Blvd,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Jollibee,Fast Food,4.1,(200),₱,"Super Metro, Natalio B. Bacalso Ave",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
Orange Brutus,Fast Food,3.8,(50),,3 Jose Maria del Mar St Cebu City 6000 Jose Maria del Mar St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,4.0,(799),₱,19 Gorordo Ave,Fast-food chain with Filipino flavors,Open until 9:00 pm,Takeaway,Closed
Jollibee,Fast Food,4.2,(257),₱,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,3.7,(27),₱,"138 Mall, Ground Floor, Colon St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Silogan ni Gian,Fast Food,4.0,(193),,Junquera St,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery · Takeaway,Closed
Jollibee,Fast Food,3.8,(111),₱,"i2 Bldg, Jose Maria del Mar St",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Closed
Jollibee,Fast Food,4.0,(215),₱,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,4.1,(181),₱,M. Logarta Ave,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Mang Inasal,Fast Food,4.1,(141),₱,"Bakilid Ground Floor, J Centre Mall, 165 AS Fortuna Street, Bakilid, Mandaue City, Cebu, Philippines, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
McDonald's,Fast Food,4.1,(276),₱,Natalio B. Bacalso S National Hwy,Iconic fast-food burger & fries chain,Open until 11:30 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.1,(300),₱,Cebu N Rd,Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.2,(170),₱,"Radaza Bldg, S. Osmeña Street",Fast-food chain with Filipino flavors,Open until 6:00 pm,Delivery,Closed
Mang Inasal,Fast Food,3.8,(31),₱,"E-Mall, N. Bacalso Cor. Leon Kilat St.",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Closed
Mang Inasal,Fast Food,4.4,(10),,"Grandmall Basak, Maximo V. Patalinghug Jr. Avenue",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Orange Brutus,Fast Food,3.7,(29),,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Cebu's Original Lechon Belly,Fast Food,4.2,(117),,"The Maxwell Hotel, N Escario St",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,Temporarily closed
Mang Inasal,Fast Food,4.0,(40),₱,,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
Jollibee Escario DT,Fast Food,4.3,(200),₱,N Escario St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Jollibee Gorordo,Fast Food,4.1,(227),₱,"Gorordo corner, General Maxilom Ave",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Jollibee - Basak Mactan,Fast Food,4.1,(493),₱,Basak,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Cebu's Original Lechon Belly,Fast Food,4.0,(78),,Park Mall Ouano Avenue,Fast-food chain with Filipino flavors,Open until 11:30 pm,Delivery · Takeaway,Temporarily closed
Jollibee,Fast Food,4.2,(411),₱,"Dial #87000, JL & Sons Building, 905, 6000 Francisco Llamas St",Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery · Takeaway,Closed
Chowking,Fast Food,2.8,(10),,G/F Gaisano Country Mall,Quick stop for familiar Chinese fare,Open until 10:00 pm,Delivery,
Chowking,Fast Food,3.9,(215),₱,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Andok's,Fast Food,3.3,(4),₱,"Andok's Building, Natalio B. Bacalso Ave",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery · Takeaway,Closed
Mang Inasal,Fast Food,3.5,(56),₱,"Osmeña Blvd, corner F. Gonzales St",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Closed
Chowking,Fast Food,3.1,(25),₱,"Unit 131, G/F, Gaisano Country Mall, Banilad, Cebu City",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Mang Inasal,Fast Food,3.9,(15),₱,Gaisano Grand Mactan Corner Basak Agus Rd Lapu-lapu City,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
KFC,Fast Food,3.8,(36),,"Upper Ground Floor, SM City Juan Luna Ave. Cor. Kaoshiung St, 6000 F. Cabahug St",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Closed
Chowking,Fast Food,3.7,(30),₱,"G/F Gaisano Mall, Tabunok, Talisay, Cebu City",Quick stop for familiar Chinese fare,Open until 7:00 pm,Delivery · Takeaway,
Army Navy Burger + Burrito,Fast Food,4.2,(174),₱₱,"Metro, W Geonzon St",Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery · Takeaway,
Jollibee Robinsons Cybergate,Fast Food,4.2,(40),₱,"Robinsons Cybergate, 1st Floor, Don Gil Garcia St",Fast-food chain with Filipino flavors,Open until 6:00 pm,Delivery,Closed
Jollibee Bulacao,Fast Food,4.1,(565),₱,Cebu S Rd,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery · Takeaway,Closed
Jollibee Guadalupe,Fast Food,4.1,(688),₱,R. Duterte St,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Andok's,Fast Food,3.8,(130),₱,Gov. M. Cuenco Ave,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
Cebu Fastfood,Fast Food,4.2,(117),,,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,Temporarily closed
Triple V Express Fastfood,Fast Food,4.0,(40),,,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
McDonald's,Fast Food,4.0,(57),₱,"E-Mall, Sanciangko St",Iconic fast-food burger & fries chain,Open until 8:00 pm,Delivery,Temporarily closed
ESKINA Fastfood,Fast Food,4.1,(227),,"Room 208, Rivergate Building, Mango Avenue",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Bayadpo Delivery And Services,Fast Food,4.1,(493),,"Corner Plaridel Street, Ac Cortes Avenue",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Orange Brutus,Fast Food,2.2,(6),,"12, One Pavilion Mall, 22 R. Duterte St, Banawe",Fast-food chain with Filipino flavors,Open until 8:30 pm,Delivery · Takeaway,Temporarily closed
Burger King,Fast Food,4.2,(713),₱₱,F. Cabahug St,Fast-food chain for grilled burgers,Open until 5:00 pm,Delivery · Takeaway,Closed
Jollibee,Fast Food,3.6,(31),₱,"Level 1, Geonzon St, Salinas Dr",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Chrisdon Restaurant,Fast Food,4.5,(2),,155 F Villa St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Orange Brutus,Fast Food,4.0,(6),,2 Archbishop Reyes Ave,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,Closed
JohnChrisTyl Fastfood,Restaurant,5.0,(1),,"6000, 69 F. Gonzales St",Fast-food chain with Filipino flavors,Opens at 6:00 am,Delivery,Closed
"Remros Food, Inc.",Fast Food,3.1,(25),,Cebu Business Park,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,4.0,(128),₱,A. Borromeo St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
M & J Fastfood,Takeout Restaurant,3.8,(36),,Don Andres Soriano Avenue,Fast-food fried chicken chain,Open until 9:00 pm,Takeaway,Closed
Ahbwu Fastfood,Restaurant,3.7,(30),,15 Julio Diaz St,Quick stop for familiar Chinese fare,Open until 7:00 pm,Delivery · Takeaway,
Bon Chon Chicken,Fast Food,4.1,(15),₱₱,"SM City Cebu, Cebu Port Center, uan Luna Ave.",Korean fried chicken specialist,Open until 9:00 pm,Delivery · Takeaway,
Norway Fastfood,Restaurant,4.2,(40),,231 Tres de Abril St,Fast-food chain with Filipino flavors,Open until 6:00 pm,Delivery,Closed
Chowking,Fast Food,3.9,(21),₱,"Upper Ground Floor., SM City Cebu, Cebu City",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery · Takeaway,Temporarily closed
Prito Kings,Fast Food,2.0,(1),,"Sacred Heart School, 1774 General Maxilom Avenue Extension",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Chowking,Fast Food,4.0,(10),₱,"G/F Pacific Mall Mandaue, Estancia-Ibabaw, Mandaue City",Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,Temporarily closed
Chowking,Fast Food,4.0,(10),₱,"G/F Pacific Mall Mandaue, Estancia-Ibabaw, Mandaue City",,Open until 8:00 pm,Takeaway,Temporarily closed
Aley's Fastfood,Takeout Restaurant,2.5,(2),,F.F. Cruz St,,Open until 8:00 pm,Takeaway,
Sherly Ann Fastfood,Takeout Restaurant,2.5,(2),,Nacua Compound,Iconic fast-food burger & fries chain,Open until 10:00 pm,Takeaway,
McDonald's,Fast Food,4.1,(314),₱,P. Burgos St,Iconic fast-food burger & fries chain,Open until 11:30 pm,Delivery,
DG's Fastfood,Filipino,4.3,(3),,Sanciangko St,,Open until 11:30 pm,,
Arlene's Fastfood,Restaurant,2.2,(6),,Imus Ave,,Open until 8:30 pm,,
Noelle Marie's Restaurant,Fast Food,4.2,(713),,"79, Don Gil Garcia Street, Capitol Site",Fast-food chain for grilled burgers,Open until 5:00 pm,,
Lotching's Chinese Ngohiong,Fast Food,4.5,(11),,Tojong St,Fast-food chain with Filipino flavors,Open until 7:30 pm,Delivery,
"Mary's Food formerly known as ""Kam n' Kat Fastfood""",Filipino,4.5,(2),,Sanciangko St,Iconic fast-food burger & fries chain,Open until 8:00 pm,Takeaway,
McDonald's,Fast Food,4.1,(215),₱,Colon St,Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery,
Zhar Fastfood And Catering Services,Restaurant,5.0,(1),,V Rama Ave,,Opens at 6:00 am,,Closed
Silogan ni Gian,Fast Food,4.0,(193),,Junquera St,Iconic fast-food burger & fries chain,,,
McDonald's,Fast Food,4.3,(46),₱,Basak-Marigondon Rd,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery,
McDonald's,Fast Food,3.9,(418),₱,"The Walk, Abad St",Iconic fast-food burger & fries chain,,Delivery,
Burger King,Fast Food,4.1,(61),₱₱,"Cebu SM Seaside, Lower Ground Floor, SM Seaside City Cebu, South Coastal Road corner Mambaling Extension, South Road Properties",Fast-food chain for grilled burgers,,,
McDonald's,Fast Food,3.7,(202),₱,"Cebu IT Tower, 1,Arch, G/F Archbishop Reyes Ave",Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery · Takeaway,
McDonald's,Fast Food,4.1,(186),₱,V.Albano,Iconic fast-food burger & fries chain,Open until 8:00 pm,Delivery,
McDonald's,Fast Food,4.0,(576),₱,"Hi-Way, M.L. Quezon National Highway",Iconic fast-food burger & fries chain,,Delivery,
Chowking,Fast Food,4.2,(80),₱,"Ground Floor, Elizabeth Mall, Leon Kilat St cor. South SuperHighway",,,,Temporarily closed
Shevan Fast Food,Fast Food,4.5,(2),,122 Junquera Ext,,Open until 10:00 pm,,
Jollibee,Fast Food,4.1,(686),₱,"Hanson, 231 Dionisio Jakosalem St",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Temporarily closed
Chowabungga,Fast Food,4.4,(230),,"GF i1 Building, Jose Maria del Mar St",Iconic fast-food burger & fries chain,Opens at 5:00 pm,Delivery · Takeaway,Closed
Jollibee,Fast Food,4.1,(350),₱,M. C. Briones St,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Burger King,Fast Food,4.1,(261),₱₱,"Cebu Business Park, Cebu Ayala, Level 4, Ayala Center, Archbishop Reyes Ave",Fast-food chain for grilled burgers,Open until 11:30 pm,Delivery,
Chowking,Fast Food,3.4,(92),₱,"solara, G/F, General Maxilom Ave",Quick stop for familiar Chinese fare,Open until 6:00 pm,,
Jollibee,Fast Food,3.8,(210),₱,"L1, SKYRISE Beta, Samar Loop",Fast-food chain with Filipino flavors,Open until 5:00 pm,Delivery,
Chowking,Fast Food,3.2,(6),₱,3F,Fast-food chain for grilled burgers,Open until 5:00 pm,,Temporarily closed
Jollibee,Fast Food,4.1,(151),₱,Ouano Avenue,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Jollibee P. Del Rosario (USC),Fast Food,4.2,(583),₱,"P. Del Rosario St., corner Pelaez, R. Landon Ext",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.0,(151),₱,"Grand Mall, Basak-Sisi-Agus Rd",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee SM L3,Fast Food,4.1,(178),₱,"114 Third Level, SM City North Reclamation Area, Juan Luna Extension, Kaohsiung St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Jollibee,Fast Food,4.4,(157),₱,"E-Mall, N. Bacalso Ave Leon Kilat St",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,
Jollibee,Fast Food,4.2,(433),₱,"Park Mall, Ouano Avenue",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.2,(165),₱,Ouano Avenue,Fast-food chain with Filipino flavors,,Delivery,
Jollibee,Fast Food,4.0,(45),₱,Gen. Maxilom Ext,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Chowking,Fast Food,3.9,(234),₱,"Chatswood Residences, A. S. Fortuna St",Fast-food fried chicken chain,Open until 7:00 pm,Delivery,
Chowking,Fast Food,3.7,(248),₱,V Rama Ave,Quick stop for familiar Chinese fare,Open until 6:00 pm,Delivery,
Jollibee,Fast Food,3.9,(113),₱,"st.,, Across, Basilica del Sto. Nino, Osmeña Boulevard, Osmeña Blvd",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Jollibee,Fast Food,4.2,(659),₱,"National Highway, A. S. Fortuna St",Fast-food chain with Filipino flavors,,Delivery,Temporarily closed
Jollibee A.S. Fortuna,Fast Food,4.2,(204),₱,A. S. Fortuna St,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Sinangag Station,Fast Food,4.0,(104),,N Escario St,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,4.2,(281),₱,Gov. M. Roa Avenue,Fast-food chain with Filipino flavors,Open until 12:00 am,Delivery,Closed
Orange Brutus,Fast Food,3.4,(5),,Osmeña Blvd,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Jollibee,Fast Food,4.1,(200),₱,"Super Metro, Natalio B. Bacalso Ave",Fast-food chain with Filipino flavors,Open until 11:30 pm,Delivery · Takeaway,
Jollibee,Fast Food,3.8,(111),₱,"i2 Bldg, Jose Maria del Mar St",Fast-food chain with Filipino flavors,Open until 6:00 pm,Delivery,
Orange Brutus,Fast Food,3.8,(50),,3 Jose Maria del Mar St Cebu City 6000 Jose Maria del Mar St,Fast-food chain with Filipino flavors,Open until 5:00 pm,Delivery,
Jollibee,Fast Food,4.0,(799),₱,19 Gorordo Ave,Fast-food chain with Filipino flavors,Open until 5:00 pm,Takeaway,Temporarily closed
Jollibee,Fast Food,3.7,(27),₱,"138 Mall, Ground Floor, Colon St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.1,(160),₱,A. Del Rosario St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.1,(181),₱,M. Logarta Ave,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Andok's,Fast Food,3.9,(37),₱,Juan Luna Ave Corner Mj Cuenco Ave,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Mang Inasal,Fast Food,4.1,(141),₱,"Bakilid Ground Floor, J Centre Mall, 165 AS Fortuna Street, Bakilid, Mandaue City, Cebu, Philippines, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.2,(170),₱,"Radaza Bldg, S. Osmeña Street",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Mang Inasal,Fast Food,3.7,(294),₱,2 General Maxilom Ave,Fast-food chain with Filipino flavors,,Delivery,
Mang Inasal,Fast Food,3.8,(31),₱,"E-Mall, N. Bacalso Cor. Leon Kilat St.",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,
Orange Brutus,Fast Food,3.7,(29),,,Fast-food fried chicken chain,Open until 7:00 pm,Delivery,
