section-result-title,section-result-details,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-location,section-result-description,section-result-info,e0HygkTYhQy__attribute-content,section-result-info 2
Jollibee,Fast Food,4.2,(362),₱,"Pueblo Verde, Mepz 2",Fast-food chain with Filipino flavors,,Delivery,Temporarily closed
Burger King,Fast Food,4.1,(395),,"Vibo Place, Cebu Escario, Axis Entertainment Avenue, N Escario St",Fast-food chain for grilled burgers,Open until 5:00 pm,Takeaway,
Chowking,Fast Food,4.0,(41),₱,"Colon Development Bldg. Osmeña cor. Zamora, Cebu City",,Open until 10:00 pm,Takeaway,Temporarily closed
Jollibee,Fast Food,4.2,(11),₱,Santo Niño St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Chowking,Fast Food,3.4,(92),₱,"solara, G/F, General Maxilom Ave",Quick stop for familiar Chinese fare,Open until 6:00 pm,Delivery,
Jollibee,Fast Food,3.8,(210),₱,"L1, SKYRISE Beta, Samar Loop",Fast-food chain with Filipino flavors,Open until 7:30 pm,Delivery,
Chowking,Fast Food,3.2,(6),₱,3F,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery · Takeaway,Temporarily closed
Jollibee,Fast Food,3.8,(192),₱,Island Central Mall,Fast-food chain with Filipino flavors,,Delivery,
Jollibee,Fast Food,4.1,(151),₱,Ouano Avenue,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Jollibee P. Del Rosario (USC),Fast Food,4.2,(583),₱,"P. Del Rosario St., corner Pelaez, R. Landon Ext",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.0,(151),₱,"Grand Mall, Basak-Sisi-Agus Rd",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.4,(157),₱,"E-Mall, N. Bacalso Ave Leon Kilat St",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,
Jollibee,Fast Food,4.2,(148),₱,"Gaisano Fiesta Mall, South National Highway",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery · Takeaway,Closed
Jollibee SM L3,Fast Food,4.1,(178),₱,"114 Third Level, SM City North Reclamation Area, Juan Luna Extension, Kaohsiung St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.0,(471),₱,M.L. Quezon National Highway,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
Jollibee,Fast Food,4.2,(433),₱,"Park Mall, Ouano Avenue",Fast-food chain with Filipino flavors,,Delivery · Takeaway,Temporarily closed
McDonald's,Fast Food,4.0,(295),₱,"Gaisano Fiesta Mall, Cebu S Rd",Iconic fast-food burger & fries chain,Open until 11:30 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.2,(165),₱,Ouano Avenue,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Jollibee,Fast Food,4.0,(45),₱,Gen. Maxilom Ext,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Lotching's Chinese Ngohiong,Fast Food,4.5,(11),,Tojong St,Fast-food chain with Filipino flavors,Open until 7:30 pm,Delivery · Takeaway,
Chowking,Fast Food,3.9,(234),₱,"Chatswood Residences, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery,Temporarily closed
Chowking,Fast Food,3.7,(248),₱,V Rama Ave,Quick stop for familiar Chinese fare,Open until 6:00 pm,Takeaway,Closed
Jollibee,Fast Food,4.2,(659),₱,"National Highway, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Jollibee A.S. Fortuna,Fast Food,4.2,(204),₱,A. S. Fortuna St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Sinangag Station,Fast Food,4.0,(104),,N Escario St,Quick stop for familiar Chinese fare,Open until 6:00 pm,Delivery,
Orange Brutus,Fast Food,3.4,(5),,Osmeña Blvd,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Orange Brutus,Fast Food,2.2,(6),,"12, One Pavilion Mall, 22 R. Duterte St, Banawe",Fast-food chain with Filipino flavors,Open until 8:30 pm,Delivery · Takeaway,Temporarily closed
Jollibee,Fast Food,4.1,(200),₱,"Super Metro, Natalio B. Bacalso Ave",Fast-food chain with Filipino flavors,,Delivery · Takeaway,
Orange Brutus,Fast Food,3.8,(50),,3 Jose Maria del Mar St Cebu City 6000 Jose Maria del Mar St,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Jollibee,Fast Food,4.0,(799),₱,19 Gorordo Ave,Fast-food chain with Filipino flavors,Open until 9:00 pm,Takeaway,
Jollibee,Fast Food,4.2,(257),₱,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,3.7,(27),₱,"138 Mall, Ground Floor, Colon St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Silogan ni Gian,Fast Food,4.0,(193),,Junquera St,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery · Takeaway,Closed
Jollibee,Fast Food,4.1,(160),₱,A. Del Rosario St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,3.8,(111),₱,"i2 Bldg, Jose Maria del Mar St",Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
Jollibee,Fast Food,4.1,(181),₱,M. Logarta Ave,Fast-food chain with Filipino flavors,,Delivery,Temporarily closed
Andok's,Fast Food,3.9,(37),₱,Juan Luna Ave Corner Mj Cuenco Ave,Iconic fast-food burger & fries chain,Open until 11:30 pm,Delivery · Takeaway,
Orange Brutus,Fast Food,4.0,(6),,2 Archbishop Reyes Ave,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Mang Inasal,Fast Food,4.1,(141),₱,"Bakilid Ground Floor, J Centre Mall, 165 AS Fortuna Street, Bakilid, Mandaue City, Cebu, Philippines, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
McDonald's,Fast Food,4.1,(276),₱,Natalio B. Bacalso S National Hwy,Iconic fast-food burger & fries chain,Open until 11:30 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.2,(170),₱,"Radaza Bldg, S. Osmeña Street",Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery,Temporarily closed
Mang Inasal,Fast Food,3.7,(294),₱,2 General Maxilom Ave,Quick stop for familiar Chinese fare,Open until 6:00 pm,Takeaway,Closed
Mang Inasal,Fast Food,4.4,(10),,"Grandmall Basak, Maximo V. Patalinghug Jr. Avenue",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Orange Brutus,Fast Food,3.7,(29),,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Cebu's Original Lechon Belly,Fast Food,4.2,(117),,"The Maxwell Hotel, N Escario St",Quick stop for familiar Chinese fare,Open until 10:00 pm,Delivery · Takeaway,
Jollibee Escario DT,Fast Food,4.3,(200),₱,N Escario St,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Jollibee Gorordo,Fast Food,4.1,(227),₱,"Gorordo corner, General Maxilom Ave",Fast-food chain with Filipino flavors,Open until 8:30 pm,Delivery,Temporarily closed
Jollibee - Basak Mactan,Fast Food,4.1,(493),₱,Basak,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Cebu's Original Lechon Belly,Fast Food,4.0,(78),,Park Mall Ouano Avenue,Fast-food chain with Filipino flavors,Open until 11:30 pm,Delivery · Takeaway,
