section-result-title,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-details,section-result-location,section-result-description,section-result-info,e0HygkTYhQy__attribute-content,section-result-info 2
The Rustic Food Corner,4.1,(14),,Fast Food,"Tree House, R Aboitiz St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,4.5,(78),₱,Fast Food,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
Jollibee,4.1,(181),₱,Fast Food,M. Logarta Ave,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,4.0,(471),₱,Fast Food,M.L. Quezon National Highway,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,
Silogan ni Gian,4.0,(193),,Fast Food,Junquera St,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,
KFC,3.8,(36),,Fast Food,"Upper Ground Floor, SM City Juan Luna Ave. Cor. Kaoshiung St, 6000 F. Cabahug St",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
Jollibee Escario DT,4.3,(200),₱,Fast Food,N Escario St,Fast-food chain with Filipino flavors,,Delivery,
Army Navy Burger + Burrito,4.2,(174),₱₱,Fast Food,"Metro, W Geonzon St",Iconic fast-food burger & fries chain,Open until 11:30 pm,Delivery · Takeaway,
Jollibee,4.1,(119),₱,Fast Food,"ayala center cebu, 3rd Floor, Paseo Verde, Archbishop Reyes Ave",Fast-food chain with Filipino flavors,Open until 10:00 pm,,
Mang Inasal,4.1,(141),₱,Fast Food,"Bakilid Ground Floor, J Centre Mall, 165 AS Fortuna Street, Bakilid, Mandaue City, Cebu, Philippines, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,4.1,(599),₱,Fast Food,"East Plaza Arcade, N. B Natalio B. Bacalso S National Hwy",Fast-food chain with Filipino flavors,Open until 9:30 pm,Delivery,
Jollibee,3.6,(31),₱,Fast Food,"Level 1, Geonzon St, Salinas Dr",Fast-food chain with Filipino flavors,Closing soon: 5:00 pm,Delivery,
Jollibee,4.2,(411),₱,Fast Food,"Dial #87000, JL & Sons Building, 905, 6000 Francisco Llamas St",Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery · Takeaway,
Jollibee Guadalupe,4.1,(688),₱,Fast Food,R. Duterte St,Fast-food chain with Filipino flavors,Open until 10:30 pm,Delivery,
Orange Brutus,3.4,(5),,Fast Food,Osmeña Blvd,Iconic fast-food burger & fries chain,Open until 10:00 pm,Delivery · Takeaway,
Jollibee Robinsons Cybergate,4.2,(40),₱,Fast Food,"Robinsons Cybergate, 1st Floor, Don Gil Garcia St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,3.8,(111),₱,Fast Food,"i2 Bldg, Jose Maria del Mar St",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Closed
Jollibee,4.0,(45),₱,Fast Food,Gen. Maxilom Ext,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,3.7,(27),₱,Fast Food,"138 Mall, Ground Floor, Colon St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,
Chowking,3.7,(248),₱,Fast Food,V Rama Ave,Quick stop for familiar Chinese fare,Open until 6:00 pm,Delivery,Temporarily closed
Jollibee,4.2,(148),₱,Fast Food,"Gaisano Fiesta Mall, South National Highway",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery · Takeaway,
Jollibee,4.1,(151),₱,Fast Food,Ouano Avenue,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
Chowking,3.8,(78),₱,Fast Food,G/F Gaisano Mactan,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Mang Inasal - 138 Mall,3.9,(87),,Fast Food,"Colonnade, 138 Colon St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Cebu's Original Lechon Belly,4.2,(117),,Fast Food,"The Maxwell Hotel, N Escario St",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,
Sinangag Station,3.9,(37),,Fast Food,,Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
Jollibee Gorordo,4.1,(227),₱,Fast Food,"Gorordo corner, General Maxilom Ave",Fast-food chain with Filipino flavors,,Delivery,
Wanna Eat,3.4,(16),,Fast Food,"Cebu IT Park, Jose Maria del Mar St",Iconic fast-food burger & fries chain,Open until 1:30 am,Delivery · Takeaway,
MyJoy,3.8,(28),,Fast Food,10 Apitong St,Fast-food chain with Filipino flavors,Open until 10:00 pm,,
Chowking,3.7,(14),₱,Hong Kong style fast food restaurant,Mactan,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,
Chicharittos,4.1,(599),,Fast Food,"Level 3, Ayala Center Cebu, Archbishop Reyes Avenue, Cebu Business Park, Cebu",Fast-food chain with Filipino flavors,Open until 9:30 pm,Delivery,
Jollibee,4.1,(200),₱,Fast Food,"Super Metro, Natalio B. Bacalso Ave",Fast-food chain with Filipino flavors,Closing soon: 5:00 pm,Delivery · Takeaway,
