section-result-title,section-result-details,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-location,section-result-description,section-result-info,section-result-info 2,e0HygkTYhQy__attribute-content
Mang Inasal,Fast Food,2.7,(13),₱,G/F Gaisano Fiesta Mall Tabunok 6045,Chain for distinctive style of ice cream,Open until 8:00 pm,,Delivery
Jollibee,Fast Food,3.9,(23),₱,"G/F SM City Consolacion, Cebu North Road, Barangay Lamac National Highway",Fast-food chain with Filipino flavors,Open until 7:00 pm,Temporarily closed,Delivery · Takeaway
Jollibee,Fast Food,4.1,(300),₱,Cebu N Rd,Fast-food chain with Filipino flavors,,Open until 9:00 pm,Delivery · Takeaway
Azool Burrito Bar,Fast Food,4.2,(13),,"E Zone, F. Cabahug St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Temporarily closed,Delivery
Senen's Fastfood Catering Service,Caterer,5.0,(1),,6000 M. J. Cuenco Ave,Iconic fast-food burger & fries chain,Closing soon: 4:00 pm,,Delivery · Takeaway
Tokyo Tokyo,Japanese,3.3,(8),₱₱,"SM Seaside, F Vestil St Cor SRP",Fast-food chain with Filipino flavors,Open until 9:00 pm,,Delivery
Ngohiong Express,Takeout Restaurant,3.8,(22),,Francisco Llamas St,Fast-food fried chicken chain,,Open until 7:30 pm,Takeaway
The Burger Joint,Hamburger,4.5,(721),,"The Gallery, Pope John Paul II Avenue, Golam Dr",Fast-food chain with Filipino flavors,Open until 6:00 pm,,Delivery
KFC Redemptorist,Fast Food,3.8,(141),₱,"Redemptorist Plaza, 15-C Queen's Rd",Fast-food fried chicken chain,Open until 9:00 pm,Temporarily closed,Delivery
Cebu's Original Lechon Belly,Fast Food,3.4,(54),,SM Consolacion Supermarket Food Area Central National Highway,Quick stop for familiar Chinese fare,Open until 9:00 pm,Temporarily closed,Takeaway
KFC F. Cabahug,Fast Food,3.8,(258),₱,F. Cabahug St,Fast-food fried chicken chain,Closed,Open until 9:00 pm,Delivery
Goldilocks Bakeshop,Fast Food,3.0,(2),₱₱,"Tisa Street, Labangon",Fast-food chain with Filipino flavors,Open until 10:00 pm,Temporarily closed,Delivery · Takeaway
Kenny Rogers Roasters,Chicken,4.2,(38),₱₱,"ayala center cebu, Archbishop Reyes Ave Cebu Business Park",Fast-food chain with Filipino flavors,Open until 10:00 pm,Temporarily closed,Delivery
McDonald's Paseo Arcenas,Restaurant,4.4,(396),₱,Salvador St,Iconic fast-food burger & fries chain,Open until 6:00 pm,Temporarily closed,Delivery · Takeaway
Andy's Crunchicken,Chicken,3.5,(20),,"Skyrise 1, I. Villa St",Fast-food chain with Filipino flavors,,Open until 9:00 pm,Delivery
Alzen's Food station,Restaurant,2.3,(3),,236-230 Tres de Abril St,Quick stop for familiar Chinese fare,,Open until 10:00 pm,Delivery
Braddex,Restaurant,4.2,(282),₱,Katipunan St,Quick stop for familiar Chinese fare,Temporarily closed,Open until 8:00 pm,Delivery
Shrimp n' Silog All-Day Breakfast Diner,Restaurant,4.0,(39),₱,Saac 2,Iconic fast-food burger & fries chain,Temporarily closed,Open until 10:00 pm,Delivery · Takeaway
Costabella Tropical Beach Hotel,3-star hotel,4.2,"(1,185)",,,Fast-food chain with Filipino flavors,Open until 8:30 pm,Temporarily closed,Delivery
Booodotz Seafood Grill,Seafood,4.4,(48),,,Fast-food chain with Filipino flavors,Closed,Open until 10:00 pm,Delivery
Mr. Potato,Takeout Restaurant,2.7,(13),,M. Logarta St. Inside North Bus Terminal,Chain for distinctive style of ice cream,Open until 7:00 pm,,Takeaway
Lanz Pizza Pajo Branch,Pizza,4.2,(17),,Maximo V. Patalinghug Jr. Avenue,Fast-food chain with Filipino flavors,Open until 2:00 am,Temporarily closed,Delivery
Mr. Potato,Takeout Restaurant,4.1,(300),,"APM Mall Building, A. Soriano Ave, Nra",Fast-food chain with Filipino flavors,Open until 9:00 pm,,Takeaway
Gerry's Grill - Mactan,Restaurant,4.1,(138),₱₱,"MEZ 1, M.L. Quezon National High Way, Ibo, Lapu-Lapu","Grilled meats, seafood & Filipino plates",Open until 10:00 pm,Temporarily closed,Delivery
Sinjeon Topokki,Restaurant,4.2,(54),,Skyrise 1,Iconic fast-food burger & fries chain,Open until 2:00 am,,Delivery · Takeaway
Mr. Potato,Takeout Restaurant,3.3,(8),,P. del Rosario St,Fast-food chain with Filipino flavors,,Open until 9:00 pm,Takeaway
Classic Savory,Restaurant,4.3,(12),₱₱,"SM City Cebu, Juan Luna Ave Cor Cabahug And Kaoshiung St",Fast-food fried chicken chain,Open until 9:00 pm,,Takeaway
O'noodle,Noodle Shop,4.5,(721),,"Colonnade Mall Oriente, Colon St",Fast-food chain with Filipino flavors,Open until 8:00 pm,,Delivery
Oishi Japanese Restaurant,Japanese,3.8,(99),,,Fast-food fried chicken chain,Reopens at 5:00 pm,Closed,Delivery
My Joy,Restaurant,4.2,(133),,Osmeña Blvd,Quick stop for familiar Chinese fare,Open until 8:00 pm,Temporarily closed,Delivery
Cebu's Original Lechon Belly,Filipino,4.2,(11),,"Parkmall, CD Seno",Fast-food fried chicken chain,Open until 10:00 pm,Closed,Takeaway
Mr. Potato,Takeout Restaurant,3.0,(2),,Humay-Humay Rd,Fast-food chain with Filipino flavors,Open until 8:30 pm,Temporarily closed,Takeaway
Manggahan Mactan,Restaurant,3.7,(3),,,Fast-food chain with Filipino flavors,Open until 10:00 pm,Temporarily closed,Delivery
Tiktilaok,Takeout Restaurant,4.4,(396),,Basak-Sisi-Agus Rd,Iconic fast-food burger & fries chain,Open until 9:00 pm,Temporarily closed,Takeaway
Sabaw Init,Filipino,4.8,(6),,"back of Gaisano GrandMall, Ibabao - Gisi - Agus Rd",Fast-food chain with Filipino flavors,Open until 8:00 pm,,Takeaway
Kalachuchi Fusion Cuisine & Grill Restaurant,Restaurant,3.9,(127),₱₱,Sitio MasiwaM.L. Quezon National Hwy,Quick stop for familiar Chinese fare,Open until 10:00 pm,Temporarily closed,10 Most Romantic Restaurants in Mactan
Mr. Potato,Takeout Restaurant,4.2,(282),,"Ultra Vistarama, Legaspi St",Quick stop for familiar Chinese fare,Open until 7:45 pm,Temporarily closed,Takeaway
Osaka Takoyaki,Japanese,3.9,(26),,,Iconic fast-food burger & fries chain,Open until 9:00 pm,Temporarily closed,Delivery · Takeaway
Ngohiong Express,Takeout Restaurant,5.0,(1),,"CSBT, Natalio B. Bacalso Ave",Fast-food chain with Filipino flavors,Temporarily closed,Open until 8:30 pm,Takeaway
CNT Lechon,Restaurant,4.2,(138),,Jose L Briones Street,Fast-food chain with Filipino flavors,Closed,Open until 10:00 pm,Delivery
Ayer’s Lechon,Restaurant,2.7,(13),,,Chain for distinctive style of ice cream,,Open until 7:00 pm,Takeaway
Conching Native Chicken,Restaurant,3.8,(184),₱₱,Juan Luna St. North Reclamation Area,Fast-food chain with Filipino flavors,Open until 9:00 pm,Temporarily closed,Delivery
KKB Seafood and BBQ Grill - Appleton,Restaurant,4.3,(4),,,Fast-food chain with Filipino flavors,,Open until 9:00 pm,Takeaway
Tokyo Tokyo Philippines,Japanese,3.6,(22),₱₱,"G/F, SM Seaside, Reclamation Area","Grilled meats, seafood & Filipino plates",Open until 9:00 pm,Temporarily closed,Delivery
Papsy's BBQ,Restaurant,3.6,(5),,"Grand Gaisano Minglanilla Dept Store, Natalio B. Bacalso S National Hwy",Iconic fast-food burger & fries chain,,Open until 2:00 am,Delivery · Takeaway
Zubuchon Drive Thru Pasalubong Center,Restaurant,2.4,(5),₱₱,,Fast-food chain with Filipino flavors,Open until 11:00 pm,,Takeaway
Special Ngohiong Express,Takeout Restaurant,5.0,(1),,85 Osmeña Blvd,Fast-food fried chicken chain,,Open until 9:00 pm,Takeaway
Ice Castle,Restaurant,4.3,(3),,,Fast-food chain with Filipino flavors,,Open until 8:00 pm,Delivery
Ngohiong Express,Restaurant,3.8,(99),,"Ayala access road (axis), Mactan St",Fast-food fried chicken chain,Closed,Reopens at 5:00 pm,Delivery
Papsy's City Time Square,Restaurant,4.3,(6),,,Quick stop for familiar Chinese fare,Open until 12:00 am,Temporarily closed,Delivery
Master Siomai,Snack bar,4.0,(1),,"Island Central Mall, Lapu-Lapu City,",Fast-food fried chicken chain,Closed,Open until 10:00 pm,Takeaway
Landers Super Store,Restaurant,3.9,(7),,Cardinal Rosales Ave,Fast-food chain with Filipino flavors,Open until 9:00 pm,Temporarily closed,Takeaway
Sugbaboy,Restaurant,3.0,(1),,Robinsons Supermarket,Fast-food chain with Filipino flavors,Temporarily closed,Open until 10:00 pm,Delivery
Ngohiong Express,Restaurant,3.8,(9),,J Lorente,Iconic fast-food burger & fries chain,Open until 10:00 pm,Temporarily closed,Takeaway
PAPSY'S BBQ narra uno,Restaurant,4.2,(261),₱₱,Gov. M. Cuenco Ave,Fast-food chain with Filipino flavors,Open until 10:00 pm,,Delivery · Takeaway
Legacy Fastfood Corporation,,3.9,(127),,"528 Gen. Maxilom Avenue, Cebu City, Cebu",Quick stop for familiar Chinese fare,Temporarily closed,Open until 10:00 pm,10 Most Romantic Restaurants in Mactan
Sterling Touch Restaurant and Inn,Restaurant,5.0,(3),,"Abuno, Pajac-Maribago Rd",Quick stop for familiar Chinese fare,Open until 11:59 pm,Temporarily closed,Takeaway
Tokyo Tokyo Philippines,Japanese,2.6,(15),₱₱,"G/F, SM City Cebu, Juan Luna Avenue",Iconic fast-food burger & fries chain,Open until 9:00 pm,Temporarily closed,Delivery · Takeaway
Merzci Cebu - Pasalubong,Souvenir store,4.1,(7),,209 Colon St,Fast-food chain with Filipino flavors,Open until 8:30 pm,Temporarily closed,Takeaway
McDonald's,Fast Food,4.1,(82),₱,Villena St,Iconic fast-food burger & fries chain,Closed,Open until 7:30 pm,Delivery
Jollibee,Fast Food,4.3,(167),₱,Villena St,Fast-food chain with Filipino flavors,Open until 9:00 pm,,Delivery
Mak's Food,Fast Food,4.7,(3),,Cabahug St,,,,
"Mimi's Lapaz Batchoy, Halo-Halo, and Fastfood",Restaurant,4.2,(17),,Abelarde St,,Open until 7:00 pm,,
Mang Inasal,Fast Food,4.1,(58),₱,Villena St,,,,
Chowking,Fast Food,5.0,(1),₱,"Level 1 Citymall, Villena St",,Open until 9:00 pm,,
She Eatery,Fast Food,,,,Mabini St,,,,
Angel's Hamburger,Fast Food,,,,Abelarde St,,,,
Chowking,Fast Food,5.0,(1),₱,Villena St,,Open until 9:00 pm,,
Jollibee,Fast Food,4.6,(9),₱,Villena St,Fast-food chain with Filipino flavors,Open until 9:00 pm,,
Mang Inasal,Fast Food,4.3,(3),₱,Villena St,,Open until 9:00 pm,,
Black Pearl,Fast Food,4.7,(7),,Magsaysay St,,Open until 6:30 pm,,
Beng - Bengs Refreshment,Fast Food,4.7,(9),,Magsaysay St,,Open until 8:00 pm,,
KeritohFries_CadizCity,Fast Food,,,,"Ceres Liner Terminal, Villena St",,Open until 6:00 pm,,
"Merzci Cadiz 2 - Bakeshop, Fastfood and Pasalubong",Restaurant,,,₱,Abelarde St,,,,
FC Food Park,Seafood,4.1,(23),,,,Open until 8:00 pm,,
Mimi's,Restaurant,4.8,(4),,Abelarde St,,,,
NIKOY's PIZZA HAUSE,Pizza,4.6,(18),,Cabahug St,,,,
Terrace Garden Restaurant,Restaurant,4.3,(36),,Abelarde St,,Open until 7:00 pm,,
Tito Rud's Restaurant,Restaurant,4.3,(12),,Villena St,,,,
Cafe RIZZ Secret Garden,Restaurant,4.2,(50),,Opal St,Iconic fast-food burger & fries chain,Open until 9:00 pm,Closed,Delivery · Takeaway
Shin-san Asalan,Barbecue,4.6,(5),,,Fast-food chain with Filipino flavors,,Open until 9:00 pm,Delivery
Vincents Cafe,Restaurant,4.2,(6),,Villacin St,,Open until 8:30 pm,,
Nikoy's Pizza,Pizza,4.2,(17),,Cabahug St,,,Open until 7:00 pm,
GHIBLI GRILL,Restaurant,4.1,(58),,,,Open until 10:00 pm,,
"Merzci Cadiz - Bakeshop, Fastfood, Pasalubong",Bakery,3.5,(26),₱,Magsaysay St,,Open until 7:30 pm,,
