section-result-title,section-result-details,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-location,section-result-description,section-result-info,section-result-info 2,e0HygkTYhQy__attribute-content
Bon Chon Chicken,Fast Food,4.1,(15),₱₱,"SM City Cebu, Cebu Port Center, uan Luna Ave.",Korean fried chicken specialist,Open until 9:00 pm,,Delivery
Chowking,Fast Food,3.9,(21),₱,"Upper Ground Floor., SM City Cebu, Cebu City",Iconic fast-food burger & fries chain,,Temporarily closed,Delivery · Takeaway
Back Yard Burgers,Fast Food,3.0,(1),,ParkMall Cebu,Chain with creative burgers & shakes,Temporarily closed,,Delivery
Jollibee P. Del Rosario (USC),Fast Food,4.2,(583),₱,"P. Del Rosario St., corner Pelaez, R. Landon Ext",Fast-food chain with Filipino flavors,Open until 9:00 pm,,Delivery
Jollibee,Fast Food,4.1,(434),₱,F. Cabahug St,Fast-food chain with Filipino flavors,,Open until 10:00 pm,Delivery · Takeaway
Jollibee,Fast Food,4.2,(659),₱,"National Highway, A. S. Fortuna St",Fast-food chain with Filipino flavors,,Open until 8:00 pm,Delivery
McDonald's,Fast Food,4.1,(480),₱,Hernan Cortes St. Cor. A.S. Fortuna St.,Iconic fast-food burger & fries chain,,Open until 12:00 am,Delivery
80'S Cook-Out Restaurant,Fast Food,4.2,(17),,131-a Rahmann St,Fast-food chain with Filipino flavors,,Open until 8:00 pm,Delivery · Takeaway
Jollibee,Fast Food,3.9,(113),₱,"st.,, Across, Basilica del Sto. Nino, Osmeña Boulevard, Osmeña Blvd",Fast-food chain with Filipino flavors,Open until 10:00 pm,,Delivery
Chowking,Fast Food,4.0,(10),₱,"G/F Pacific Mall Mandaue, Estancia-Ibabaw, Mandaue City",Fast-food chain with Filipino flavors,,Temporarily closed,Delivery
Mergies' Budget Meal,Fast Food,2.0,(2),,12 C. Rodriguez Street,Iconic fast-food burger & fries chain,Open until 11:30 pm,Temporarily closed,
McDonald's,Fast Food,4.1,(360),₱,"Mambaling, Cebu S Rd",Iconic fast-food burger & fries chain,,,Delivery · Takeaway
Orange Brutus,Fast Food,3.9,(10),,"Cinco Centrum, Puente Osmena",Fast-food chain for grilled burgers,,Open until 5:00 pm,
Jollibee,Fast Food,4.0,(45),₱,Gen. Maxilom Ext,Fast-food chain with Filipino flavors,Open until 9:00 pm,,Delivery
Auntie Anne's,Fast Food,4.1,(686),,2 Archbishop Reyes Ave,Fast-food chain with Filipino flavors,Open until 10:00 pm,,Delivery
Jollibee,Fast Food,4.0,(799),₱,19 Gorordo Ave,Fast-food chain with Filipino flavors,,Open until 11:30 pm,Takeaway
Jollibee,Fast Food,4.1,(20),₱,"Robinsons Fuente, Fuente Osmeña Cir",Fast-food chain with Filipino flavors,Open until 9:30 pm,Temporarily closed,Delivery
Sinangag Station,Fast Food,4.0,(104),,N Escario St,Iconic fast-food burger & fries chain,,,Delivery · Takeaway
Jollibee,Fast Food,3.8,(210),₱,"L1, SKYRISE Beta, Samar Loop",Fast-food chain with Filipino flavors,,Open until 10:00 pm,Delivery
Army Navy Burger + Burrito,Fast Food,4.2,(174),₱₱,"Metro, W Geonzon St",Fast-food chain with Filipino flavors,,,Delivery
Jollibee,Fast Food,4.1,(350),₱,M. C. Briones St,Fast-food chain with Filipino flavors,,Open until 9:00 pm,Delivery
Jollibee,Fast Food,4.2,(148),₱,"Gaisano Fiesta Mall, South National Highway",Fast-food chain with Filipino flavors,Open until 8:00 pm,Temporarily closed,Delivery · Takeaway
Jollibee,Fast Food,4.2,(433),₱,"Park Mall, Ouano Avenue",Fast-food chain with Filipino flavors,Temporarily closed,,Delivery · Takeaway
Mang Inasal,Fast Food,4.1,(141),₱,"Bakilid Ground Floor, J Centre Mall, 165 AS Fortuna Street, Bakilid, Mandaue City, Cebu, Philippines, A. S. Fortuna St",Fast-food chain with Filipino flavors,Open until 9:00 pm,,Delivery
Silogan ni Gian,Fast Food,4.0,(193),,Junquera St,Fast-food chain with Filipino flavors,,Open until 10:00 pm,Delivery · Takeaway
Jollibee Escario DT,Fast Food,4.3,(200),₱,N Escario St,Fast-food chain with Filipino flavors,,Open until 8:00 pm,Delivery
Jollibee,Fast Food,4.2,(411),₱,"Dial #87000, JL & Sons Building, 905, 6000 Francisco Llamas St",Fast-food chain with Filipino flavors,Open until 11:00 pm,,Delivery · Takeaway
Mang Inasal,Fast Food,4.0,(62),₱,,Fast-food chain with Filipino flavors,,Open until 8:00 pm,Delivery · Takeaway
Jollibee,Fast Food,3.8,(192),₱,Island Central Mall,Fast-food chain with Filipino flavors,,Open until 10:00 pm,Delivery
Jollibee,Fast Food,3.6,(53),₱,Aéroport international de Mactan-Cebu,Fast-food chain with Filipino flavors,Temporarily closed,,Delivery
Jollibee,Fast Food,4.1,(151),₱,Ouano Avenue,Fast-food chain with Filipino flavors,Open until 10:00 pm,Temporarily closed,Delivery
Jollibee SM L3,Fast Food,4.1,(178),₱,"114 Third Level, SM City North Reclamation Area, Juan Luna Extension, Kaohsiung St",Fast-food chain with Filipino flavors,Open until 9:00 pm,,Delivery
Chowabungga,Fast Food,4.4,(230),,"GF i1 Building, Jose Maria del Mar St",Fast-food chain for grilled burgers,Opens at 5:00 pm,Closed,
Mang Inasal,Fast Food,3.8,(30),₱,A. Del Rolamo St,Fast-food chain with Filipino flavors,Open until 10:00 pm,,Delivery
EPS FOOD STATION2,Fast Food,4.1,(686),,Poso Road Poblacion,Fast-food chain with Filipino flavors,Opens at 4:00 pm,Closed,Delivery
Jollibee,Fast Food,4.1,(200),₱,"Super Metro, Natalio B. Bacalso Ave",Fast-food chain with Filipino flavors,,Open until 11:30 pm,Delivery · Takeaway
Letty's Snackhaus,Fast Food,4.1,(20),,Zone 13 Freedom Park Carbon Calderon St.,Fast-food chain with Filipino flavors,Open until 8:00 pm,Temporarily closed,Delivery
Kanadara Restaurant,Fast Food,4.0,(104),,F Ramos Street,Iconic fast-food burger & fries chain,,,Delivery · Takeaway
Cebu's Original Lechon Belly,Fast Food,4.2,(117),,"The Maxwell Hotel, N Escario St",Fast-food chain with Filipino flavors,Open until 10:00 pm,,Delivery · Takeaway
Jollibee,Fast Food,4.2,(257),₱,,Fast-food chain with Filipino flavors,Open until 9:00 pm,,Delivery
Orange Brutus,Fast Food,4.0,(5),,"Ground Floor, Elizabeth Mall Leon, Kilat Street",Fast-food chain with Filipino flavors,Open until 8:00 pm,,Delivery
Jollibee,Fast Food,4.1,(181),₱,M. Logarta Ave,Fast-food chain with Filipino flavors,Temporarily closed,Open until 8:00 pm,Delivery
Andok's,Fast Food,3.9,(37),₱,Juan Luna Ave Corner Mj Cuenco Ave,Fast-food chain with Filipino flavors,Temporarily closed,,Delivery · Takeaway
Chowking,Fast Food,3.7,(248),₱,V Rama Ave,Quick stop for familiar Chinese fare,Open until 6:00 pm,,Delivery
Prito Kings,Fast Food,2.0,(1),,"Sacred Heart School, 1774 General Maxilom Avenue Extension",Fast-food chain with Filipino flavors,,Open until 10:00 pm,Delivery · Takeaway
