section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-cost,section-result-description,e0HygkTYhQy__content,section-result-info 2
Joven's Grill & Seafood,3.8,(189),Restaurant,"Parkmall, Tipolo -ALF 1 -27-28, 168 Ouano Avenue",Opens at 10:00 am,₱₱,Fast-food chain for grilled burgers,,Temporarily closed
Akita Restaurant,4.5,(10),Restaurant,"Countrymall, Banilad Rd",Closing soon: 10:00 pm,,,Takeaway,
Ekit Food Haus,4.3,(85),Takeout Restaurant,Tandang Sora St cor Magsaysay St Villa Aurora,Opens at 7:00 am,,,Takeaway,Closed
Akita Japanese Restaurant,4.1,(189),Restaurant,Gaisano Country Mall,Opens at 10:00 am,,,Delivery,Closed
Pomme Pee Fries,3.9,(79),Takeout Restaurant,I. Villa St,Open until 1:00 am,,,Takeaway,
Castillo’s Restaurant Cebu,3.0,(1),Restaurant,E Zone F. Cabahug St,Open until 5:00 am,,,Takeaway,Temporarily closed
Ilaputi,4.1,(88),Asian,"Axis Entertainment Avenue at Vibo Place, N. Escario St.",Opens at 10:00 am,,Casual pizza chain with a kids' fun zone,10 Best Chocolate Cakes you can find in Cebu,Closed
10 Dove's Street Resto,3.7,(9),Restaurant,869 A. S. Fortuna St,Opens at 6:00 am,,,Takeaway,Closed
Cheavers Fried Grill,4.5,(89),Restaurant,A. S. Fortuna St,Opens at 9:30 am,,Iconic fast-food burger & fries chain,Delivery,Closed
Restaurant,4.0,(3),Restaurant,2 Gov. M. Cuenco Ave,Opens at 10:00 am,,Chain eatery for Filipino fried chicken,Takeaway,Closed
Salinas Resto,4.2,(286),Restaurant,"Amon Building, Salinas Dr",Open until 5:00 am,,,Takeaway,
House of Lechon,4.6,(11),Filipino,"Dona Carmen Building, 6000, Gov. M. Cuenco Ave",Opens at 7:00 am,,,Takeaway,Closed
Siomai ni papang,5.0,(1),Restaurant,"greens subdivision, 14,banilad",Opens at 11:00 am,,,Takeaway,Closed
Huang Korean Restaurant,3.0,(1),Restaurant,A. S. Fortuna St,Opens at 12:00 pm,,,,Closed
Chirorin Mura Restaurant,4.2,(105),Japanese,A. S. Fortuna St,Opens at 8:00 am,,Modern cafe for global comfort cooking,Takeaway,Closed
Kublai Khan Mongolian Restaurant,3.8,(32),Asian,"Third Floor, The Terraces, Ayala Center Cebu",Open until 4:00 am,,Chain eatery for Filipino fried chicken,Takeaway,Closed today
Riofar Restaurant,4.2,(44),Restaurant,Gov. M. Cuenco Ave,Opens at 10:30 am,,Refined lodging with a rooftop pool,Cebu Food Trip: The Search for the Best Cebu Lechon,Closed
Ohgi no Kaze Japanese Ramen Restaurant,3.3,(4),Authentic Japanese,Gorordo Ave,Open until 11:00 pm,,,Takeaway,Closed
Kyohei Restaurant,3.2,(17),Restaurant,A. S. Fortuna St,Opens at 11:00 am,,,Delivery,Closed
Azimino Japanese Restaurant,4.5,(2),Japanese,"1 Paseo Saturnino Dona Luisa Road, Banilad",Closing soon: 10:00 pm,,,Takeaway,
Commissary Restaurant Division,4.0,(1),Restaurant,"Pages Holdings Inc., Gov. M. Cuenco Ave",Opens at 8:00 am,,Fast-food chain for grilled burgers,,Closed
Restaurant,4.4,(8),Restaurant,,Closing soon: 10:00 pm,,,Takeaway,
Korean Restaurant Chosun Galbi,4.5,(2),Restaurant,Salinas Dr,Opens at 7:00 am,,,Takeaway,Closed
Café Shang Tea Restaurant,4.1,(189),Restaurant,A. S. Fortuna St,Opens at 10:00 am,,,Delivery,Closed
Kudoku Restaurant + Bar,4.6,(7),Restaurant,301 Pope John Paul II Ave,Open until 1:00 am,,,Takeaway,
Sumo Sam,3.8,(55),Japanese,"Ground Floor, The Terraces, Ayala Center Cebu",Open until 5:00 am,,,Takeaway,Temporarily closed
blu Cat Pizzeria and Restobar,4.0,(43),Pizza,"6014, Sacris Rd",Opens at 11:00 am,,Casual pizza chain with a kids' fun zone,10 Best Chocolate Cakes you can find in Cebu,Closed
Tsi Boom,3.3,(4),Restaurant,"J Center Building, A. S. Fortuna St",Opens at 10:00 am,,,Takeaway,Closed
Suzukaze japanese restaurant,3.8,(36),Japanese,"Laniba Building, 6000, 15 N Escario St",Opens at 9:30 am,,Iconic fast-food burger & fries chain,Delivery,Closed
Bokja Restaurant,4.0,(6),Restaurant,"JCentre Mall, A. S. Fortuna St",Opens at 10:00 am,,Chain eatery for Filipino fried chicken,Takeaway,Closed
Mallous restaurant,4.5,(2),Restaurant,"Opposite to Dona rita village, Gov. M. Cuenco Ave",Open until 5:00 am,,,Takeaway,
Shu Japanese Restaurant,4.5,(4),Restaurant,Gov. M. Cuenco Ave,Opens at 7:00 am,,,Takeaway,Closed today
CnT Lechon,4.3,(398),Restaurant,V Rama Ave,Opens at 7:00 am,₱₱,,Delivery · Takeaway,Closed
Kan-Anan NI EJ,3.0,(1),Takeout Restaurant,Sitio Baca,Opens at 5:00 am,,,Takeaway,Closed
Noh - Eul,4.2,(105),Korean,"M-1, Northgate Centre, Governon Cueco Ave.",Opens at 9:00 am,,Modern cafe for global comfort cooking,Takeaway,Closed
Tebour's Lechon Manok,4.0,(3),Takeout Restaurant,"T.T. Bldg, 6014 A. S. Fortuna St",Opens at 10:00 am,,Chain eatery for Filipino fried chicken,Takeaway,Closed
A Taste Of Mandarin,4.2,(5),Chinese,"Gaisano Country Mall, Gov. M. Cuenco Ave",Opens at 8:00 am,,Refined lodging with a rooftop pool,Cebu Food Trip: The Search for the Best Cebu Lechon,Closed
Michaelangelos Pizzaria Restaurant,5.0,(1),Restaurant,Banilad Rd,Open until 11:00 pm,,,Takeaway,Closed
Persian Kebab Tandoori,4.0,(95),Persian,"ALF 3 - 9 Parkmall, 168 Ouano Avenue, North Reclamation Area, Tipolo,, Mandaue City, Cebu, C.D.Seno",Opens at 11:00 am,,,Delivery,Temporarily closed
El Sattihan,4.8,(4),Restaurant,Salinas Dr,Opens at 10:00 am,,,Takeaway,Closed
Felreza Food Haus,4.0,(1),Takeout Restaurant,"Ginuveva Aparre Building, Sitio Ibaan J Panes St",Opens at 8:00 am,,Fast-food chain for grilled burgers,Takeaway,Closed
Doris Restaurant,4.8,(4),Restaurant,,Closing soon: 10:00 pm,,,Takeaway,
UC Nians Corner,1.5,(2),Takeout Restaurant,J. Panes St.,Opens at 5:00 am,,,Takeaway,Closed
Get Fit,5.0,(1),Vegetarian,"Sanchez Comp, J. Panes St",Opens at 10:00 am,,,Delivery,Closed
Restaurant Kamekichi,3.0,(2),Asian,"Socorro Estenza Building, M.L. Quezon Street, Cabancalan",Open until 1:00 am,,,Takeaway,
Big Boss - Filipino International Cuisine Restaurant,5.0,(1),Restaurant,6014 A. S. Fortuna St,Opens at 12:00 pm,,,Takeaway,Closed
Goong Korean Restaurant,4.4,(22),Korean,"Ground Floor, Chatswood Residences, A. S. Fortuna St",Opens at 11:00 am,,Casual pizza chain with a kids' fun zone,10 Best Chocolate Cakes you can find in Cebu,Closed
Ayer's Lechon House Main Office,4.5,(22),Asian,Gov. M. Cuenco Ave,Opens at 10:00 am,,,Takeaway,Closed
Kuya J Restaurant,3.7,(104),Restaurant,Biliran Rd,Opens at 9:30 am,₱₱,Iconic fast-food burger & fries chain,Delivery,Closed
Joven's Grill Restaurant,4.0,(6),Restaurant,727a A.S.Fortuna,Opens at 10:00 am,,Chain eatery for Filipino fried chicken,Takeaway,Closed
Sachi - Authentic Japanese Ramen and Okonomiyaki,4.4,(57),Japanese,,Closing soon: 9:30 pm,,,Takeaway,
Mizu Japanese Restaurant,4.0,(12),Japanese,"Waterfront Cebu City Hotel Lahug, Archbishop Reyes Avenue",Opens at 7:00 am,,,Takeaway,Closed today
Saigon Quan Parkmall,4.3,(398),Vietnamese,,Opens at 7:00 am,,,Delivery · Takeaway,Closed
Ofuku-san Japanese Cuisine,3.0,(1),Japanese,,Opens at 5:00 am,,,Takeaway,Closed
Gibbs Hot Wings,4.3,(79),Chicken Wings,Garden Row,Opens at 9:00 am,₱₱,Modern cafe for global comfort cooking,Takeaway,Closed
Mismukuno Teppanyaki,3.7,(82),Japanese,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Opens at 10:00 am,,Chain eatery for Filipino fried chicken,Takeaway,Closed
Flame It Burgers And Sausages,4.3,(13),Takeout Restaurant,Pope John Paul II Ave,Opens at 8:00 am,,Refined lodging with a rooftop pool,Takeaway,Closed
Eastern Hub Restaurant,4.0,(72),Restaurant,"st Across pan de manila bakeshop, V Rama Avenue Corner Guadalajara",Opens at 11:00 am,₱,,Takeaway,Closed
Jonie’s Flavored Chicken,2.3,(11),Restaurant,,Opens at 11:00 am,,,Delivery,Temporarily closed
Master Siomai (Northgate Center),4.0,(1),Dim Sum,"North Gate Center Don Manuel Gotianuy Complex, Gov. M. Cuenco Ave",Opens at 10:00 am,,,Takeaway,Closed
Jerry's Chicken,3.0,(2),Fried Chicken,13 Gov. M. Cuenco Ave,Opens at 8:00 am,,Fast-food chain for grilled burgers,Takeaway,Closed
Yobob,4.0,(59),Filipino,F. Cabahug St,Closing soon: 9:30 pm,,,Takeaway,
Kaiten Ramen + Sushi,3.2,(10),Authentic Japanese,Streetscape,Closing soon: 10:00 pm,,,Takeaway,Closed
Dong Juan,3.8,(12),Filipino,A. S. Fortuna St,Opens at 10:00 am,,,Delivery,Closed
Nina Eatery,3.7,(3),Eatery,Sitio Baca,Closing soon: 10:00 pm,,,Takeaway,
El Garaje Restaurant,5.0,(1),Restaurant,Archbishop Reyes Ave,Opens at 12:00 pm,,,Takeaway,Closed
Grillah,3.3,(3),Grill,M. L. Quezon Ave,Opens at 11:00 am,,Casual pizza chain with a kids' fun zone,10 Best Chocolate Cakes you can find in Cebu,Closed
Butchero,4.0,(1),Meat,,Opens at 10:00 am,,,Takeaway,Closed
Dimsum Break IT Park,3.7,(91),Dim Sum,,Opens at 9:30 am,₱₱,Iconic fast-food burger & fries chain,Delivery,Closed
Mom's Food,4.5,(2),Korean,"Gaisano Country Mall, 6000, Gov. M. Cuenco Ave",Opens at 10:00 am,,Chain eatery for Filipino fried chicken,Takeaway,Closed




section-result-title,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-details,section-result-location,section-result-info,section-result-info 2,e0HygkTYhQy__content,section-result-description
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Ginza Restaurant Inc.,4.4,(117),,Japanese,295 J. Panis St,,Closing soon: 10:00 pm,Breakfast Restaurants in Cebu to Start Your Day Right,
Tavolata,4.5,(237),,Italian,"Design Center of 6014, A. S. Fortuna St",,Closing soon: 10:00 pm,,
The Meat House,4.4,(76),,Restaurant,J. Panis St,,Closing soon: 10:00 pm,,
Rica's,4.3,(56),,Restaurant,Paseo Saturnino,,Open until 11:30 pm,,
Ramen Yushoken,4.6,"(1,010)",₱₱₱,Restaurant,"G/F Oakridge Business Park, 880 A. S. Fortuna St",,Open until 11:00 pm,,
Lighthouse Restaurant,4.2,(106),,Restaurant,Wilson St,,Closing soon: 10:00 pm,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
The Weekend,4.4,(67),,Restaurant,"88th Ave, Gov. M. Cuenco Ave",,Open until 11:30 pm,,
Maya Mexican Restaurant,4.3,(493),₱₱₱,Mexican,Crossroads Mall,,Open until 11:00 pm,,
Akita Japanese Restaurant,4.0,(22),,Restaurant,"Gaisano Country Mall, Banilad Rd",,Closing soon: 10:00 pm,,
Phat Pho Vietnamese Restaurant,4.7,(28),,Restaurant,"GF , Crossroads Mall, Governor M.Cuenco Avenue , 6000 Cebu City , Cebu",,Closing soon: 10:00 pm,,
Kaya,4.4,(435),,Korean,"Ayala access road (axis), Lot 817-D, Paseo Entertainment, F. Cabahug St",,Open until 6:00 am,Takeaway,
Giuseppe Pizzeria & Sicilian Roast,4.5,(246),,Italian,Paseo Saturnino,,Open until 10:30 pm,,
The Tinder Box,4.2,(303),₱₱₱,Restaurant,Gov. M. Cuenco Ave,,Open until 12:00 am,,
Das Bierfass Cebu - The Beer Barrel Cebu,4.5,(167),₱₱,German,"Unit 103 Banilad Town Center(BTC, Gov. M. Cuenco Ave",Temporarily closed,Closing soon: 10:00 pm,Delivery,
Katzpapa,4.5,(62),,Restaurant,,,Closing soon: 10:00 pm,,
Manuel's Restaurant,4.6,(72),,Restaurant,,,Closing soon: 10:00 pm,Breakfast Restaurants in Cebu to Start Your Day Right,
Trattoria da Gianni,4.3,(100),,Restaurant,"The Crossroads, Gov. M. Cuenco Ave",,Closing soon: 10:00 pm,,
Olio Restaurant,4.6,(38),,Fine Dining,"Unit T Crossroad Mall, Banilad",,Open until 11:00 pm,,
ONE FOR THE ROAD Bar and Restaurant,4.8,(10),,Restaurant,,,Open until 2:00 am,,
Albur's All In Pizza Burger Grill,4.2,(477),₱₱,Restaurant,Gen. Lim St,,Open until 1:00 am,,
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Ginza Restaurant Inc.,4.4,(117),,Japanese,295 J. Panis St,,Closing soon: 10:00 pm,Breakfast Restaurants in Cebu to Start Your Day Right,
Tavolata,4.5,(237),,Italian,"Design Center of 6014, A. S. Fortuna St",,Closing soon: 10:00 pm,,
The Meat House,4.4,(76),,Restaurant,J. Panis St,,Closing soon: 10:00 pm,,
Rica's,4.3,(56),,Restaurant,Paseo Saturnino,,Open until 11:30 pm,,
Ramen Yushoken,4.6,"(1,010)",₱₱₱,Restaurant,"G/F Oakridge Business Park, 880 A. S. Fortuna St",,Open until 11:00 pm,,
Lighthouse Restaurant,4.2,(106),,Restaurant,Wilson St,,Closing soon: 10:00 pm,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
The Weekend,4.4,(67),,Restaurant,"88th Ave, Gov. M. Cuenco Ave",,Open until 11:30 pm,,
Maya Mexican Restaurant,4.3,(493),₱₱₱,Mexican,Crossroads Mall,,Open until 11:00 pm,,
Akita Japanese Restaurant,4.0,(22),,Restaurant,"Gaisano Country Mall, Banilad Rd",,Closing soon: 10:00 pm,,
Phat Pho Vietnamese Restaurant,4.7,(28),,Restaurant,"GF , Crossroads Mall, Governor M.Cuenco Avenue , 6000 Cebu City , Cebu",,Closing soon: 10:00 pm,,
Kaya,4.4,(435),,Korean,"Ayala access road (axis), Lot 817-D, Paseo Entertainment, F. Cabahug St",,Open until 6:00 am,Takeaway,
Giuseppe Pizzeria & Sicilian Roast,4.5,(246),,Italian,Paseo Saturnino,,Open until 10:30 pm,,
The Tinder Box,4.2,(303),₱₱₱,Restaurant,Gov. M. Cuenco Ave,,Open until 12:00 am,,
Das Bierfass Cebu - The Beer Barrel Cebu,4.5,(167),₱₱,German,"Unit 103 Banilad Town Center(BTC, Gov. M. Cuenco Ave",Temporarily closed,Closing soon: 10:00 pm,Delivery,
Pearl Korean Meat Shop & Restaurant,4.1,(222),,Korean,"Gaisano Country Mall, Gov. M. Cuenco Ave",,Closing soon: 10:00 pm,,
Makchang 황소막창,4.3,(243),,Restaurant,"The Space, A. S. Fortuna St",,Open until 4:00 am,Breakfast Restaurants in Cebu to Start Your Day Right,
Samgyupsalamat Unli-Korean BBQ,4.5,(368),₱₱,Korean BBQ,"The Ridges, Commercial Center, F. Cabahug St",,Open until 2:00 am,,
Nonki Teppanyaki Japanese Restaurant,3.9,(107),,Japanese,"J Centre Bldg, A. S. Fortuna St",,Closing soon: 10:00 pm,,
Pusô Bistro & Bar,4.4,(246),,Restaurant,"Quest Hotel, Archibishop Reyes",,Open until 12:00 am,,
Anzani,4.2,(386),₱₱₱,Restaurant,"Bellini Champagne Lounge and Live music Bar, Panorama Heights Nivel Hills",,Open until 12:00 am,,
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
KAYU Kitchen & Bar,4.4,(204),,Restaurant,32 A Sanson Rd,,Closing soon: 10:00 pm,Takeaway,
Pancake House,4.2,(116),₱₱,Restaurant,"No. 880 A.S. Fortuna St., Banilad Mandaue Cebu, A. S. Fortuna St",,Closing soon: 10:00 pm,,
Sachi Authentic Japanese Ramen And Okonomiyaki,4.4,(276),₱₱,Restaurant,M. L. Quezon Ave,,Closing soon: 10:00 pm,,
Chosun Galbi Korean Restaurant,4.0,(308),₱₱,Korean,888 A. S. Fortuna St,,Open until 5:00 am,,
Bigby's Cafe,4.3,(21),,Restaurant,,,Closing soon: 10:00 pm,,
Tavolata,4.3,(289),,Italian,,,Open until 11:00 pm,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
Gorliz Tapas Y Vinos Spanish Restaurant,4.5,(121),,Spanish,"2nd Floor Streetscape Cebu, Paseo Saturnino",,Open until 11:00 pm,12 of the Best Restaurants in Cebu You’ll Only Find There,
Isla Sugbo Seafood City,4.1,"(1,172)",,Seafood,Archbishop Reyes Ave,,Closing soon: 10:00 pm,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
Da-In Korean Restaurant,4.2,(13),,Korean,42 Salinas Dr,Temporarily closed,Closing soon: 10:00 pm,,
Choobi Choobi,4.2,(453),₱₱,Filipino,F. Cabahug St,,Open until 10:30 pm,Delivery,
415 Dining Room,4.1,(138),₱₱,Korean BBQ,"FLC Center, 888 Hernan Cortes St",,Open until 3:00 am,Takeaway,
Burrow Lounge,4.4,(105),₱₱,Restaurant,,,Closing soon: 10:00 pm,,
100 Years Korean Barbeque & Restaurant,4.6,(20),,Korean BBQ,Unnamed Road,,Open until 11:00 pm,,
Bab Jib Restaurant,4.3,(37),,Korean,"AGMD bldg, A. S. Fortuna St",Temporarily closed,Open until 12:00 am,Delivery,
House of Lechon,4.2,"(2,462)",₱₱,Filipino,Acacia St,,Closing soon: 10:00 pm,Delivery · Takeaway,
Abaca Baking Company,4.6,(507),₱₱,Restaurant,"Crossroads, Banilad Rd",,Closing soon: 10:00 pm,"""The price is a bit high compare to other Philipino restaurant.""",
Max's Restaurant BTC,3.9,(89),₱₱,Restaurant,"GCA Building, 13 Gov. M. Cuenco Ave",,Closing soon: 10:00 pm,,Chain eatery for Filipino fried chicken
Yellow Cab Pizza Co.,4.1,(384),₱₱,Pizza,W Geonzon St,Closing soon: 10:00 pm,,Delivery,
Yumeya Kihei Japanese Restaurant,4.2,(94),,Restaurant,"Paciic Square, F. Cabahug St",,Open until 10:30 pm,,
Tsay Cheng,4.3,(249),₱₱,Chinese,Archbishop Reyes Ave,,Closing soon: 10:00 pm,,
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Angel's Hamburger,4.0,(1),₱,Takeout Restaurant,Gov. M. Cuenco Ave,Closing soon: 10:00 pm,,Takeaway,
Cafe bai,4.5,(166),,Restaurant,"Ouano Ave, cor C.D.Seno",,Closing soon: 10:00 pm,,
Mr. A Bar & Restaurant,4.1,(792),₱₱,Restaurant,"Nivel Hills, Busay, Lahug,",,Open until 2:00 am,,
Kushiyaki Chikuzenya,4.1,(156),₱₱,Japanese,"Gasvi Building, A. S. Fortuna St",,Open until 2:00 am,,
Golden Cowrie,4.1,(472),₱₱,Filipino,42 Salinas Dr,,Closing soon: 10:00 pm,Delivery,
Sugbufé,4.1,(208),₱₱,Restaurant,,,Closing soon: 10:00 pm,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
luca's test kitchen,5.0,(1),,Restaurant,A. S. Fortuna St,,Closing soon: 10:00 pm,12 of the Best Restaurants in Cebu You’ll Only Find There,
Chicken Inasal & Restaurant,4.2,(94),,Restaurant,6000 Banilad Rd,,Closing soon: 10:00 pm,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
Zark's Burgers,4.0,(222),,Restaurant,"eBloc 1 Tower, Jose Maria del Mar St",Temporarily closed,Open until 12:00 am,,
Sachi,4.2,(107),,Ramen,,,Open until 11:00 pm,Delivery,
Wok'd Thai Restaurant,4.2,(22),,Thai,"Streetscape Cebu, Paseo Saturnino",,Closing soon: 10:00 pm,Takeaway,
Pang Panga Restaurant,3.9,(207),₱₱,Korean,A. S. Fortuna St,Closing soon: 10:00 pm,,,
Buffet 101,4.3,"(1,632)",₱₱,Buffet,City Time Square,,Open until 11:00 pm,,
AA BBQ,4.1,(600),,Restaurant,Salinas Dr,Temporarily closed,Open until 1:00 am,Delivery,
Neo Neo Restaurant by Ging Ging,4.3,(53),,Restaurant,"Lower Ground Level, J Centre Mall",,Closing soon: 10:00 pm,Delivery · Takeaway,
La Bella Pizza Bistro,4.3,(89),,Italian,"The Gallery, Juan Luna Avenue",,Open until 11:00 pm,"""The price is a bit high compare to other Philipino restaurant.""",
Krave Cafe,4.2,(111),₱₱,Restaurant,40 Salinas Dr,,Closing soon: 10:00 pm,,Chain eatery for Filipino fried chicken
"Ichiriki Chaya, Inc",4.2,(75),,Restaurant,"Ichiriki Chaya Bldg, 869 A. S. Fortuna St",,Open until 11:00 pm,Delivery,
Ume Japanese Cuisine,4.5,(17),,Japanese,"Ground floor, bai Hotel Cebu Ouano Ave, cor C.D.Seno",,Closing soon: 10:00 pm,Takeaway,
Kuya J Restaurant,4.0,(376),₱₱,Filipino,15 N Escario St,,Closing soon: 10:00 pm,,
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Taitong Steamers Foods,4.2,(25),,Chinese,A. S. Fortuna St,,Closing soon: 10:00 pm,Takeaway,
Monster Crab,4.6,(63),,Restaurant,Wilson St,,Open until 11:00 pm,,
Sachi Authentic Japanese Ramen And Okonomiyaki,4.1,(472),₱₱,Japanese,"Ayala Center, 176 Archbishop Reyes Ave",,Open until 11:00 pm,,
My Greek Taverna,3.7,(12),,Greek,"BTC Bldg, Gen. M. Cuenco Ave",,Closing soon: 10:00 pm,,
Slate District,4.0,(85),,Meat,"Parkmall, G/F Alfresco Area, 6014 Ouano Avenue",,Closing soon: 10:00 pm,Delivery,
Maroo Korean Restaurant,4.2,(293),₱₱,Korean,Paseo Saturnino,,Open until 11:00 pm,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
JJUN and BBO Restaurant,4.0,(2),,Korean,"North Gate, Gov. M. Cuenco Ave",,Open until 4:00 am,12 of the Best Restaurants in Cebu You’ll Only Find There,
Pearl Korean Meat Shop & Restaurant,4.3,(162),₱₱,Korean,A. S. Fortuna St,,Open until 5:00 am,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
Taj Indian Restaurant,3.7,(148),₱₱,Indian,"City Time Square, Mantawe Ave",Temporarily closed,Open until 11:00 pm,,
La Maison Rose - The Pink Restaurant,4.2,(72),,French,371 Gorordo Ave,,Open until 12:00 am,Delivery,
Jackies BBQ,4.0,(5),,Takeout Restaurant,Orel,,Closing soon: 10:00 pm,Takeaway,
Dong Juan,4.5,(128),₱₱,Restaurant,28 Emilio Osmeña St,,Closing soon: 10:00 pm,Takeaway,
Tokyo Table Cebu,4.3,(94),,Yakiniku,"City Time Square,",,Closing soon: 10:00 pm,,
Pigafetta,4.1,(46),,Restaurant,"Axis Entertainment Avenue, N Escario St",Temporarily closed,Closing soon: 10:00 pm,Delivery,
The Ching Palace,4.2,(269),₱₱,Chinese,20 Salinas Dr,,Closing soon: 10:00 pm,Delivery · Takeaway,
Kan Anan,4.1,(19),,Filipino,"4th Floor Cebu Parklane International Hotel, Archbishop Reyes Avenue Corner Escario Street",,Open until 11:00 pm,"""The price is a bit high compare to other Philipino restaurant.""",
Chibori Shabu-Shabu & Sushi Bar,3.7,(53),,Japanese,Jose Maria del Mar St,,Open until 10:30 pm,,Chain eatery for Filipino fried chicken
Linea Restaurant and Lounge,4.2,(75),,Louisianan,"Asiatown IT Park, Apas Jose Maria del Mar St",,Open until 2:00 am,Delivery,
Leega Korean Restaurant,3.6,(328),,Restaurant,A. S. Fortuna St,,Open until 12:00 am,Takeaway,
Abaca Baking Company,4.4,(126),,Filipino,The Terraces Ayala Center,,Open until 11:00 pm,,
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Manila Foodshoppe,4.1,(155),,Restaurant,"Capitol Square, N Escario St",,Closing soon: 10:00 pm,Delivery,
Restaurant Crush On,3.8,(17),,Restaurant,19 Pres. Quirino St,,Open until 12:00 am,,
Jafar's Shawarma,3.7,(30),,Takeout Restaurant,"BTC Bldg, Gov. M. Cuenco Ave",,Closing soon: 10:00 pm,Takeaway,
Wok'd,3.9,(25),,Thai,"Streetcape, Paseo Saturnino",,Closing soon: 10:00 pm,,
Oyster Bay Seafood Restaurant,4.0,(442),₱₱₱,Seafood,"Bridges Town Square, Plaridel St",,Closing soon: 10:00 pm,Delivery,
Shakey's Pizza Parlor,4.2,(352),₱₱,Pizza,"The Walk Asia Town, Abad St",Open until 11:00 pm,,Delivery,Casual pizza chain with a kids' fun zone
Dessert Factory,4.1,(40),,Restaurant,,,Open until 11:00 pm,12 of the Best Restaurants in Cebu You’ll Only Find There,
MC's CASA BLANCA,4.3,(7),,Restaurant,Sta Lucia Village,Open until 5:00 am,,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
Balamban Liempo,4.1,(59),,Restaurant,"1, E-Zone, F. Cabahug St",Temporarily closed,Closing soon: 10:00 pm,,
Jollibee,4.1,(434),₱,Fast Food,F. Cabahug St,Open until 12:00 am,,Delivery · Takeaway,Fast-food chain with Filipino flavors
Birdseed Breakfast Club + Café,4.0,(176),,Restaurant,"Unit F19, Axis Entertainment Avenue, 6000 N Escario St",,Closing soon: 10:30 pm,12 of the Best Restaurants in Cebu You’ll Only Find There,
Sushi Boy Japanese-inspired Restaurant,3.8,(62),₱₱,Sushi,"Garden Bloc, W Geonzon St",,Closing soon: 10:00 pm,Takeaway,
Bigby's,3.9,(107),,Restaurant,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",,Open until 11:00 pm,,
Chicken Boy,4.1,(46),,Takeout Restaurant,J.Pares St.,Closing soon: 10:00 pm,Temporarily closed,Takeaway,
Shakey's Pizza Parlor,4.2,(490),₱₱,Pizza,F. Cabahug St,,Open until 12:00 am,Delivery,Casual pizza chain with a kids' fun zone
MamaKim,4.1,(77),,Korean,Banilad Rd,,Closing soon: 10:30 pm,"""The price is a bit high compare to other Philipino restaurant.""",
McDonald's,3.9,(418),₱,Fast Food,"The Walk, Abad St",Open until 10:30 pm,,Delivery,Iconic fast-food burger & fries chain
MIO Café & Restaurant,3.9,(48),,Filipino,"in.between BIR and Petron station 6000, Archbishop Reyes Ave",Open until 2:00 am,,Delivery,
Han Guk Kwan,3.8,(304),₱₱,Korean,Salinas Dr,Open until 12:00 am,,Takeaway,
The Pig and Palm,4.5,(382),₱₱₱,Restaurant,G/F MSY Tower PESCADORES RD,,Closing soon: 10:00 pm,Kaon Ta! The Ultimate Cebu Food Trip Guide,
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Lunhaw Vegan Cafe,4.4,(131),,Vegan,82 N Escario St,,Closing soon: 10:00 pm,A Healthy Food Trip in Cebu: 5 Must-Try Vegan & Vegetarian Restaurants,
The Social,4.1,(673),₱₱,Grill,"Ayala Mall Cebu, Archbishop Reyes Ave",,Open until 2:00 am,,
The BADA Korean Restaurant,3.7,(299),,Restaurant,9-3 N Escario St,,Open until 12:00 am,Takeaway,
