section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-cost,section-result-description,e0HygkTYhQy__content,section-result-info 2
Topokkiman,4.5,(283),Korean,"Banilad Rosedale Place, Banilad, Gov. M. Cuenco Ave",Open until 11:00 pm,₱₱,Casual-chic spot for Filipino plates,Delivery,
KAYU Kitchen & Bar,4.4,(204),Restaurant,32 A Sanson Rd,Closing soon: 10:00 pm,,Chain eatery for Filipino fried chicken,Takeaway,
one point restaurant,4.5,(17),Restaurant,PH cebu Mandaue City Htt building,Open until 5:00 am,,,Takeaway,
Yumeya Kihei Japanese Restaurant,4.2,(94),Restaurant,"Paciic Square, F. Cabahug St",Open until 10:30 pm,,,,
Zark's Burgers,4.0,(222),Restaurant,"eBloc 1 Tower, Jose Maria del Mar St",Open until 12:00 am,,,,
Buffet 101,4.3,"(1,632)",Buffet,City Time Square,Open until 11:00 pm,₱₱,,,
House of Lechon,4.2,"(2,462)",Filipino,Acacia St,Closing soon: 10:00 pm,₱₱,Chain eatery for Filipino fried chicken,Delivery · Takeaway,
Chibori Shabu-Shabu & Sushi Bar,3.7,(53),Japanese,Jose Maria del Mar St,Open until 10:30 pm,,Casual-chic spot for Filipino plates,Kaon Ta! The Ultimate Cebu Food Trip Guide,
Nonki Teppanyaki Japanese Restaurant,3.9,(107),Japanese,"J Centre Bldg, A. S. Fortuna St",Closing soon: 10:00 pm,,,,
The BADA Korean Restaurant,4.2,(199),Restaurant,A. S. Fortuna St,Open until 12:00 am,,,,
Mooon Cafe,4.0,(392),Restaurant,"The Walk, Abad St",Open until 2:00 am,₱₱,,Delivery,
415 Dining Room,4.1,(138),Korean BBQ,"FLC Center, 888 Hernan Cortes St",Open until 3:00 am,₱₱,,Takeaway,
Grand Majestic Restaurant,4.1,(28),Restaurant,"Archbishop Reyes Avenue, Cebu City, Cebu",Closing soon: 10:00 pm,,,,
Bigby's Cafe,4.3,(21),Restaurant,,Closing soon: 10:00 pm,,,,
Boosog,4.1,(130),Restaurant,301 Pope John Paul II Ave,Closing soon: 10:00 pm,₱₱,,,
Wakamatsu Yakiniku Japanese Restaurant,3.9,(332),Japanese,"Pacific Square Building, F. Cabahug St",Open until 10:30 pm,₱₱₱,,,
TSUKI Japanese Dining,4.0,(26),Restaurant,"G/F Sarrosa International Hotel, F. Cabahug Street, Kasambagan",Open until 11:00 pm,₱₱,,Breakfast Restaurants in Cebu to Start Your Day Right,
Ginza,4.2,(17),Japanese,"Ginza Bldg, J. Panes St.",Closing soon: 10:00 pm,,,,
MIO Café & Restaurant,3.9,(48),Filipino,"in.between BIR and Petron station 6000, Archbishop Reyes Ave",Open until 2:00 am,,,Takeaway,
Pearl Korean Meat Shop & Restaurant,4.3,(162),Korean,A. S. Fortuna St,Open until 5:00 am,₱₱,,,
Red Buffalo,4.2,(124),Restaurant,,Closing soon: 10:00 pm,,Casual-chic spot for Filipino plates,Delivery,
Hangout-NOBUSHI,4.4,(47),Japanese,"GF-2 ""THE SPACE"", P.Remedio St",Open until 12:00 am,,Chain eatery for Filipino fried chicken,Takeaway,
Manong's Original Bacolod Chicken Inasal,4.2,(33),Restaurant,F. Cabahug St,Closing soon: 10:00 pm,,,Takeaway,
Mitsuyado Sei-Men,4.3,(73),Restaurant,F. Cabahug St,Open until 11:30 pm,,,,
Siam,4.1,(313),Thai,"1st Level, Ayala Terrace, Bohol Ave",Open until 11:00 pm,,,,
Phat Pho,4.3,(6),Restaurant,Crossroads Mall,Closing soon: 10:00 pm,,,,
Slate District,4.0,(85),Meat,"Parkmall, G/F Alfresco Area, 6014 Ouano Avenue",Closing soon: 10:00 pm,,Chain eatery for Filipino fried chicken,Delivery · Takeaway,
Mr. A Bar & Restaurant,4.1,(792),Restaurant,"Nivel Hills, Busay, Lahug,",Open until 2:00 am,₱₱,Casual-chic spot for Filipino plates,Kaon Ta! The Ultimate Cebu Food Trip Guide,
Sugbufé,4.1,(208),Restaurant,,Closing soon: 10:00 pm,₱₱,,,
Nonki Japanese Restaurant - Main Branch,4.3,(325),Japanese,219 A. S. Fortuna St,Open until 11:00 pm,,,,
Da-In Korean Restaurant,4.2,(13),Korean,42 Salinas Dr,Open until 2:00 am,,,Delivery,Temporarily closed
My Greek Taverna,3.7,(12),Greek,"BTC Bldg, Gen. M. Cuenco Ave",Closing soon: 10:00 pm,,,Takeaway,
MC's CASA BLANCA,4.3,(7),Restaurant,Sta Lucia Village,Closing soon: 10:00 pm,,,,
Tops Korean Restobar,4.3,(145),Korean,Cebu Veterans Dr,Closing soon: 10:00 pm,₱₱,,,
Red House Taiwan Sha-bu Sha-bu,4.3,(438),Shabu Shabu,"J Block Bldg, Brgy. 3 571, The, 2 Apitong St",Open until 11:00 pm,₱₱,,,
Pang Panga Restaurant,3.9,(207),Korean,A. S. Fortuna St,Open until 10:30 pm,₱₱,,,
La Maison Rose - The Pink Restaurant,4.2,(72),French,371 Gorordo Ave,Open until 12:00 am,,,Breakfast Restaurants in Cebu to Start Your Day Right,
Chicken Boy,4.2,(17),Takeout Restaurant,J.Pares St.,Closing soon: 10:00 pm,,,Takeaway,
Hwang Gung,3.8,(114),Restaurant,935 Salinas Dr,Open until 5:00 am,,,Takeaway,
The Pala-pala Restaurant By Hyksos,4.1,(101),Restaurant,"Northdrive Mall, Ouano Avenue",Closing soon: 10:00 pm,,,,
Ettas Eclectic Food + Drinks,4.0,(74),Restaurant,"Ayala Center, 176 Archbishop Reyes Ave",Open until 11:00 pm,,Casual-chic spot for Filipino plates,Delivery,
Live Life Restaurant,3.9,(27),Restaurant,"Laniba Building, 15 N Escario St",Closing soon: 10:00 pm,,Chain eatery for Filipino fried chicken,Takeaway,
Sachi Authentic Japanese Ramen And Okonomiyaki,4.1,(472),Japanese,"Ayala Center, 176 Archbishop Reyes Ave",Open until 11:00 pm,₱₱,,Takeaway,
"Davids Tea House - Restaurant (City Time Square, Cebu)",4.1,(123),Restaurant,"City Time Square, 201-203 Mantawe Ave",Open until 11:00 pm,₱₱,,,
DonGa Korean Grilled Meats Restaurant,3.7,(198),Restaurant,F. Cabahug St,Open until 5:00 am,,,,
Samgyupsalamat Unli-Korean BBQ,4.5,(368),Korean BBQ,"The Ridges, Commercial Center, F. Cabahug St",Open until 2:00 am,₱₱,,,
Kuya J Restaurant,4.0,(376),Filipino,15 N Escario St,Closing soon: 10:00 pm,₱₱,Chain eatery for Filipino fried chicken,Delivery · Takeaway,
Ume Japanese Cuisine,4.5,(17),Japanese,"Ground floor, bai Hotel Cebu Ouano Ave, cor C.D.Seno",Closing soon: 10:00 pm,,Casual-chic spot for Filipino plates,Takeaway,
Tokyo Table Cebu,4.3,(94),Yakiniku,"City Time Square,",Closing soon: 10:00 pm,,,,
La Gondola,4.4,(17),Italian,"Waterfront, Salinas Dr",Open until 10:30 pm,,,,
Wok'd Thai Restaurant,4.2,(22),Thai,"Streetscape Cebu, Paseo Saturnino",Closing soon: 10:00 pm,,,Delivery,Temporarily closed
Dessert Factory,4.1,(40),Restaurant,,Open until 11:00 pm,,,Takeaway,
Taitong Steamers Foods,4.2,(25),Chinese,A. S. Fortuna St,Closing soon: 10:00 pm,,,,
Bigby's,3.9,(107),Restaurant,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Open until 11:00 pm,,,,
Mooon Cafe,4.0,(98),Mexican,"Parkmall, Ouano Ave., Mandaue City, Cebu, C.D.Seno",Open until 11:30 pm,,,,
Balamban Liempo,4.1,(59),Restaurant,"1, E-Zone, F. Cabahug St",Closing soon: 10:00 pm,,,,
MamaKim,4.1,(77),Korean,Banilad Rd,Open until 10:30 pm,,,Breakfast Restaurants in Cebu to Start Your Day Right,
Restaurant Crush On,3.8,(17),Restaurant,19 Pres. Quirino St,Open until 12:00 am,,,Takeaway,
Pigafetta,4.1,(46),Restaurant,"Axis Entertainment Avenue, N Escario St",Closing soon: 10:00 pm,,,Takeaway,
Kan Anan,4.1,(19),Filipino,"4th Floor Cebu Parklane International Hotel, Archbishop Reyes Avenue Corner Escario Street",Open until 11:00 pm,,,,
Pochero Kinaraan,4.1,(187),Restaurant,1453 F. Gochan St,Open until 11:00 pm,,Casual-chic spot for Filipino plates,Delivery,
The BADA Korean Restaurant,3.7,(299),Restaurant,9-3 N Escario St,Open until 12:00 am,,Chain eatery for Filipino fried chicken,Takeaway,
Han Guk Kwan,3.8,(304),Korean,Salinas Dr,Open until 11:00 pm,₱₱,,Takeaway,
Jafar's Shawarma,3.7,(30),Takeout Restaurant,"BTC Bldg, Gov. M. Cuenco Ave",Closing soon: 10:00 pm,,,Takeaway,
Kukuk's Nest,4.1,(132),Restaurant,,Open until 5:00 am,₱,,Takeaway,
Hukad,4.0,(242),Filipino,"Ayala Center Cebu, Biliran Rd",Open until 10:30 pm,₱₱,,,
Wild Wings Kitchen,4.0,(8),Restaurant,"Go Home Bldg, 6000, 341 F. Cabahug St",Open until 2:00 am,,Chain eatery for Filipino fried chicken,Delivery · Takeaway,
Veranda,4.2,(83),Restaurant,"Parkmall, Unit EN 109 Enclave Bldg, Ouano Avenue",Open until 1:00 am,,Casual-chic spot for Filipino plates,Takeaway,
Turks,3.8,(11),Restaurant,"Skyrise 1, I. Villa St",Closing soon: 10:00 pm,,,,
Puesto Restaurant,4.7,(9),Restaurant,"The Greenery, Pope John Paul II Ave",Open until 12:00 am,,,Delivery · Takeaway,
Wok'd,3.9,(25),Thai,"Streetcape, Paseo Saturnino",Closing soon: 10:00 pm,,,Delivery,Temporarily closed
UrChoice Bistro Cafe,4.7,(57),Restaurant,530 A Avelino Morales St,Closing soon: 10:00 pm,,,Takeaway,
Arano's Bar and Restaurant,4.3,(66),Spanish,29-31 Fairlane Village Rd,Closing soon: 10:00 pm,,,,
Sushi Boy Japanese-inspired Restaurant,3.8,(62),Sushi,"Garden Bloc, W Geonzon St",Closing soon: 10:00 pm,₱₱,,,
Minnan Seafood restaurant,3.9,(10),Restaurant,Mantawe Ave,Open until 10:30 pm,,,,
DDC Chicken Amiga Restaurant,4.1,(59),Restaurant,A. S. Fortuna St,Open until 1:00 am,,,,
Bonifacio District & Faustina Center,4.3,(506),Business center,F. Cabahug St,Open until 1:00 am,,,Breakfast Restaurants in Cebu to Start Your Day Right,
Andiana's Restaurant,3.3,(4),Restaurant,F. Cabahug St,Open until 5:00 am,,,Takeaway,
Blu Bar & Grill,4.3,(337),Grill,"Marco Polo Plaza Cebu, Cebu Veterans Dr",Open until 12:00 am,,,Takeaway,
Todam,3.7,(65),Korean,"GF , Ezone Commercial Complex, K. Cabahug Street , 6000 Cebu City , Cebu",Closing soon: 10:00 pm,,,,
Lunhaw Vegan Cafe,4.4,(131),Vegan,82 N Escario St,Closing soon: 10:00 pm,,Casual-chic spot for Filipino plates,A Healthy Food Trip in Cebu: 5 Must-Try Vegan & Vegetarian Restaurants,
Ocean star seafood restaurant,4.7,(3),Restaurant,7 Pope John Paul II Ave,Closing soon: 10:00 pm,,Chain eatery for Filipino fried chicken,Takeaway,
The Dessert Factory Restaurant - J Centre Mall,3.2,(5),Restaurant,J Centre Mall,Closing soon: 10:00 pm,,,Takeaway,
Dagdaks Bar and Restaurant,5.0,(2),Restaurant,"City Time Square Building, Mantawe Ave",Open until 12:00 am,,,Takeaway,
Angel's Hamburger,4.0,(1),Takeout Restaurant,Gov. M. Cuenco Ave,Open until 5:00 am,₱,,Takeaway,
BOSS Manok,4.1,(384),Restaurant,21-D Salinas Dr,Open until 12:00 am,₱₱,,,
JJUN and BBO Restaurant,4.0,(2),Korean,"North Gate, Gov. M. Cuenco Ave",Open until 4:00 am,,Chain eatery for Filipino fried chicken,Delivery · Takeaway,
Don Harubang Korean Restaurant,3.8,(33),Korean,,Open until 4:00 am,,Casual-chic spot for Filipino plates,Takeaway,
