section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-description,GLOBAL__gm2-caption,GLOBAL__gm2-caption 2,GLOBAL__gm2-caption 3,e0HygkTYhQy__attribute,section-result-info,section-result-header-container,section-result-location
ABC Hotel Cebu,4.2,(505),3-star hotel,Relaxed lodging with low-key dining,,,,·,Temporarily closed,"₱1,538",107 F. Ramos St
RedDoorz near Baclay Drive Super Metro,3.7,(25),Hotel,Unassuming lodging with a restaurant,,,,·,Temporarily closed,"₱1,161",1017-A Baclay
Hotel Asia,3.8,(93),3-star hotel,Casual hotel with free breakfast,,,,·,Temporarily closed,"₱1,995",11 Don Jose Avila St
OYO 166 Maanyag Pension House,3.5,(62),2-star hotel,Modest budget hotel with a patio,,,,·,Temporarily closed,₱900,F B Cabahug
OYO 130 Jy Crown Palace,3.4,(38),3-star hotel,Low-key hotel with free breakfast,,,,·,Temporarily closed,"₱1,172",15 Edison St
Hotel Capada,3.7,(26),3-star hotel,Modest hotel with free breakfast,,,,·,Temporarily closed,₱729,21 Juana Osmeña St
Rublin Hotel Cebu,3.8,(93),Hotel,Laid-back hostel with a cafeteria,,,,·,Temporarily closed,₱975,22 Gov. M. Roa St
Ezeniel's Place,3.0,(2),Bed & breakfast,Modest hotel with a restaurant/bar,,,,·,Temporarily closed,"₱1,127",General Maxilom Ave
OYO 540 Verovino Suites,4.1,(10),Hotel,,,,,·,Temporarily closed,₱729,Lot 1 Palm Hill Rd
BANGKETO Art & Meals,4.3,(29),Restaurant,,,,,·,Temporarily closed,,210 R. Landon Ext
M Citi Suites,3.9,(169),3-star hotel,Informal lodging with dining & a pool,,,,·,Temporarily closed,"₱2,890",J. Llorente St
Teofel Hostel,3.9,(128),2-star hotel,Casual hotel with dining & event space,,,,·,Temporarily closed,₱848,"Oliva-Perez Bldg, 4 Junquera Ext"
Metro Park Hotel - Mandaue,3.8,(153),2-star hotel,Polished apartment hotel with dining,,,,·,Temporarily closed,"₱3,927",M. C. Briones St
Copenhagen East Residence,3.9,(85),Hotel,Relaxed hostel with free breakfast,,,,·,Temporarily closed,"₱1,020",
Honeybee Royal Inn,3.8,(11),2-star hotel,Laid-back lodging with a cafe & a gym,,,,·,Temporarily closed,"₱1,161","Junquera corner, P. Del Rosario"
Frankfurter Deluxe Inn,4.3,(85),2-star hotel,Relaxed hostel with free breakfast,,,,·,Temporarily closed,"₱1,020",Imus Ave
Marco Polo Plaza Cebu,4.5,"(2,627)",3-star hotel,Low-key hotel with dining & pools,,,,·,Temporarily closed,₱878,"Nivel Hills, Cebu Veterans Dr"
Cebu Courtyard,3.1,(314),2-star hotel,Casual lodging with dining & water views,,,,·,Temporarily closed,₱900,S. Osmeña Street
Summit Circle Cebu,3.9,(323),3-star hotel,,,,,·,Temporarily closed,"₱1,253",Fuente Osmeña Cir
The Padgett Place - Suite 709,4.4,(5),Serviced apartment,Laid-back lodging with a cafe & a gym,,,,·,Temporarily closed,"₱1,660","The Padgett Place, PH, Molave St"
Travel Bee Inn,4.2,(9),2-star hotel,Relaxed lodging with low-key dining,,,,·,Temporarily closed,"₱1,538",297 Don Gil Garcia St
Halfway House Hostel,4.0,(56),2-star hotel,Unassuming lodging with a restaurant,,,,·,Temporarily closed,"₱1,161","3160 Sangi New Road, Pajo Mactan Cebu"
CEBU BUDGETEL - IT PARK CITY CENTER,3.4,(7),2-star hotel,Casual hotel with free breakfast,,,,·,Temporarily closed,"₱1,995",
Sophia Suites Residence Hotel,4.5,(12),3-star hotel,Relaxed apartment hotel with dining,,,,·,Temporarily closed,₱900,"Montebello Court, Banilad 6000"
Hotel Elizabeth Cebu,3.8,(49),3-star hotel,Low-key hotel with free breakfast,,,,·,Temporarily closed,"₱1,172",Archbishop Reyes Ave
S Hotel & Residence,4.2,(274),3-star hotel,Modest hotel with free breakfast,,,,·,Temporarily closed,₱729,827 M. Velez St
Joyful Island Hostel Cebu City,4.0,(7),2-star hotel,Low-key lodging with dining & Wi-Fi,,,,·,Temporarily closed,₱975,"5th Floor JY Crown Palace Building, 15th Edison St"
Cebu City Center Inn - IT Park,4.1,(9),2-star hotel,Modest hotel with a restaurant/bar,,,,·,Temporarily closed,"₱1,127",78 Edison St
Pe're Aristo Guesthouse - 1.5 Star,3.6,(61),1-star hotel,,,,,·,Temporarily closed,₱729,B1 L23 San Jose Village Umapad
Travel Bee Inn,4.2,(9),2-star hotel,,,,,,Temporarily closed,,297 Don Gil Garcia St
Cebu Guest Inn,4.1,(65),2-star hotel,Informal lodging with dining & a pool,,,,·,Temporarily closed,"₱2,890",Holy Family Rd
Cebu Hostel & Glamping,3.9,(128),Hostel,Casual hotel with dining & event space,,,,·,Temporarily closed,₱848,1298-B V Rama Ave
Travelbee Capitol Inn,3.7,(44),2-star hotel,Polished apartment hotel with dining,,,,·,Temporarily closed,"₱3,927",294 Don Gil Garcia St
Murals Mactan,4.4,(37),Hostel,Relaxed hostel with free breakfast,,,,·,Temporarily closed,"₱1,020",Basak-Cagodoy-Bankal-Buaya Road
May's Home Away From Home,4.7,(22),Serviced accommodation,Laid-back lodging with a cafe & a gym,,,,·,Temporarily closed,"₱1,161",Sikatuna St
ZEN Rooms Zapatera,5.0,(2),2-star hotel,Relaxed hostel with free breakfast,,,,·,Temporarily closed,"₱1,020",49 Gen. Sepulveda St
The Center Suites,4.0,(270),2-star hotel,Simple budget hotel with a chapel,,,,·,Temporarily closed,₱878,N Escario St
Ranile's Pension House,3.9,(27),2-star hotel,Casual lodging with dining & water views,,,,·,Temporarily closed,₱900,"6014, 757 M. L. Quezon Ave"
Cebu Century Plaza Hotel,4.0,(148),3-star hotel,,,,,·,Temporarily closed,"₱1,253",Juana Osmeña Street
San Jose Pension,3.5,(55),2-star hotel,Laid-back lodging with a cafe & a gym,,,,·,Temporarily closed,"₱1,660",Rahmann St
Cest La Vie Pension,3.5,(80),2-star hotel,Relaxed lodging with low-key dining,,,,·,Temporarily closed,"₱1,538",13 Juana Osmeña St
BertLee's Pension Hauz,4.3,(15),Hotel,Unassuming lodging with a restaurant,,,,·,Temporarily closed,"₱1,161","73, Francisco Llamas Street, Mambaling"
Island Breeze Hostel - Cebu Central - 1 Star,3.7,(55),2-star hotel,Casual hotel with free breakfast,,,,·,Temporarily closed,"₱1,995","JY Crowne, Apas Lahug, Edison St"
Studio units in Persimmon Residences by AMID,5.0,(2),Hotel,Relaxed apartment hotel with dining,,,,·,Temporarily closed,₱900,476 M. J. Cuenco Ave
Mactan District Budgetel-Lapu-Lapu Cebu,2.6,(8),2-star hotel,Low-key hotel with free breakfast,,,,·,Temporarily closed,"₱1,172",5 Mustang Rd
Hotel Sogo - Cebu,3.9,(336),2-star hotel,Straightforward hotel with free Wi-Fi,,,,·,Temporarily closed,₱729,Sanciangko St
The Seven Archangels Pension House,3.7,(16),Hostel,Low-key lodging with dining & Wi-Fi,,,,·,Temporarily closed,₱975,Uytengsu Ext
The Suite by Cafeplus Coffee,4.1,(9),Hostel,Modest hotel with a restaurant/bar,,,,·,Temporarily closed,"₱1,127","01 Floremer Subd, A. S. Fortuna St"
Pantawan Guest House - 2 Star,4.2,(34),Hotel,,,,,·,Temporarily closed,₱729,26 M. P. Yap St
Eloisa Royal Suites,4.0,(530),3-star hotel,,,,,,Temporarily closed,,Maximo V. Patalinghug Jr. Avenue
Margery's Foyer,4.2,(10),Guest house,Informal lodging with dining & a pool,,,,·,Temporarily closed,"₱2,890",Villa Estellita Subdivision
Axis Pension Hotel,2.8,(4),Hotel,Casual hotel with dining & event space,,,,·,Temporarily closed,₱848,Humay-Humay Rd
Cozy Inn Mactan,4.2,(50),Hotel,Polished apartment hotel with dining,,,,·,Temporarily closed,"₱3,927",Outsider's Drive Kagudoy Road
Little Norway Guest House,4.6,(89),Guest house,Relaxed hostel with free breakfast,,,,·,Temporarily closed,"₱1,020","3359 Greenfield Village, Sangi new road"
Citadines Cebu City,4.8,(35),3-star hotel,Polished apartment hotel with dining,,,,·,Temporarily closed,"₱1,161","Baseline Center, Juana Osmeña St"
CHE AND JAMES GUEST HOUSE,4.4,(22),Hotel,Relaxed hostel with free breakfast,,,,·,Temporarily closed,"₱1,020","2nd floor, Che and James internet Cafe, CJ GUEST HOUSE, Sanciangko St"
Prestigio,3.2,(11),3-star hotel,Simple budget hotel with a chapel,,,,·,Temporarily closed,₱878,"1, Gorordo Avenue, corner Sanson Rd"
Europa Mansionette Inn - 2 Star,3.7,(104),3-star hotel,Casual lodging with dining & water views,,,,·,Temporarily closed,₱900,M. L. Quezon Ave
Felicity Island Hotel,4.7,(9),Hotel,,,,,·,Temporarily closed,"₱1,253","Voltaweld Bldg, M.L. Quezon National Highway"
JQKariton Residences,3.5,(55),Serviced accommodation,Laid-back lodging with a cafe & a gym,,,,·,Temporarily closed,"₱1,660","Casa Mira Towers, Salvador St"
Murals Mactan,4.4,(37),Hostel,Relaxed lodging with low-key dining,,,,·,Temporarily closed,"₱1,538",Basak-Cagodoy-Bankal-Buaya Road
Vacation Hotel Cebu,3.9,(97),3-star hotel,Unassuming lodging with a restaurant,,,,·,Temporarily closed,"₱1,161",35 Juana Osmeña St
Quest Serviced Residences,3.9,(26),Serviced accommodation,Casual hotel with free breakfast,,,,·,Temporarily closed,"₱1,995",Archbishop Reyes Ave
ZEN Rooms Zapatera,5.0,(2),2-star hotel,Relaxed apartment hotel with dining,,,,·,Temporarily closed,₱900,49 Gen. Sepulveda St
Mactan Cebu Waiting Lounge,2.6,(8),Hotel,Low-key hotel with free breakfast,,,,·,Temporarily closed,"₱1,172",M.L. Quezon National Highway
Zen Life Guest House,5.0,(13),Hotel,Straightforward hotel with free Wi-Fi,,,,·,Temporarily closed,₱729,F. Gochan St
Titan Residence at Mactan Cebu,2.5,(2),Hotel,Low-key lodging with dining & Wi-Fi,,,,·,Temporarily closed,₱975,"F. Martir Street Lot 1 Blk 23, Bayswater Subdivision, Brgy. Agus, Lapu-lapu City"
MB's Garden Inn,4.2,(186),3-star hotel,Modest hotel with a restaurant/bar,,,,·,Temporarily closed,"₱1,127",Kagudoy
Park View,3.5,(2),Serviced apartment,,,,,·,Temporarily closed,₱729,"21k Solinea Tower, Cardinal Rosales Ave"
