section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-description,GLOBAL__gm2-caption,GLOBAL__gm2-caption 2,GLOBAL__gm2-caption 3,e0HygkTYhQy__attribute,section-result-info,section-result-header-container,section-result-location
"La Maria, Pension & Tourist Inn Hotel‎",3.8,(90),2-star hotel,,Free parking,Free Wi-Fi,,·,Temporarily closed,,
Hotel Elizabeth Cebu,4.1,(777),4-star hotel,Unassuming lodging with a restaurant,Spa,Free parking,Free Wi-Fi,·,Temporarily closed,"₱1,161",
Nomads Hub Coliving Hostel Cebu,4.7,(45),Hostel,Relaxed hostel with free breakfast,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,,
Cebu Parklane International Hotel,4.2,"(1,740)",4-star hotel,Grand hotel with a casino & 24/7 dining,Pool,Free Wi-Fi,,·,Temporarily closed,"₱3,487",
Adelfa Hotel,4.0,(217),2-star hotel,Casual lodging with dining & water views,Free parking,Free Wi-Fi,,·,Temporarily closed,"₱2,067",
One Central Hotel - 3 Star,4.2,(632),3-star hotel,,Pool,Spa,Free parking,·,Temporarily closed,,
Hotel Asia,3.8,(93),3-star hotel,,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,,
Yello Hotel,4.3,(22),Hotel,,Pool,Free parking,Free Wi-Fi,·,Temporarily closed,,
OYO 517 Jcad Hotel Lahug,3.0,(8),Hotel,,,,,·,Temporarily closed,,
Main Hotel and Suites,4.1,(299),3-star hotel,,Free breakfast,,,·,Temporarily closed,,
Red Planet Cebu,4.0,"(1,056)",2-star hotel,,Free parking,Free Wi-Fi,,·,Temporarily closed,,
Hotel Pier Cuatro,3.7,(502),2-star hotel,Relaxed lodging with low-key dining,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,"₱1,538",
Summit Circle Cebu,3.9,(323),3-star hotel,Modest hotel with free breakfast,Pool,Free parking,Free Wi-Fi,·,Temporarily closed,"₱2,699",
Sarrosa International Hotel & Residential Suites,3.9,(556),3-star hotel,,Pool,Free parking,Free Wi-Fi,·,Temporarily closed,,
Best Western Plus Lex Cebu,4.3,(840),3-star hotel,Casual hotel with a free airport shuttle,Pool,Free parking,Free Wi-Fi,·,Temporarily closed,"₱1,390",
OYO 476 Hedda Hotel,4.0,(10),Hotel,,,,,·,Temporarily closed,₱729,
RedDoorz near The Persimmon Cebu,3.6,(28),2-star hotel,Basic hotel with free Wi-Fi & city views,Free Wi-Fi,,,·,,,
Diamond Suites and Residences,3.7,(440),3-star hotel,Laid-back hotel with an outdoor pool,Pool,Free parking,Free Wi-Fi,·,,,
AMAX Inn Cebu,3.9,(58),3-star hotel,,Free Wi-Fi,Free breakfast,,·,Temporarily closed,,
TR3ATS Guest House - 1.5 Star,3.7,(83),2-star hotel,Informal lodging with dining & a pool,Free parking,Free Wi-Fi,,·,Temporarily closed,"₱2,890",
OYO 655 Mambaling Pension,3.2,(122),2-star hotel,Straightforward guesthouse with a cafe,Free Wi-Fi,,,·,Temporarily closed,,
Waterfront Hotel & Casino Cebu City,4.3,"(4,438)",4-star hotel,Grand hotel with a casino & 24/7 dining,Pool,Spa,Free parking,·,Temporarily closed,,
Down south hostel - 1.5 Star,4.1,(46),Hostel,,Free parking,Free Wi-Fi,,·,Temporarily closed,,
Pacific Pensionne,3.5,(309),3-star hotel,Unassuming lodging with a restaurant,Pool,Free parking,Free Wi-Fi,·,Temporarily closed,"₱1,161",
Skyblue Hotel - 2 Star,3.3,(120),3-star hotel,Relaxed hostel with free breakfast,Spa,Free parking,Free Wi-Fi,·,Temporarily closed,"₱1,020",
Richmond Plaza Hotel,3.2,(176),3-star hotel,Grand hotel with a casino & 24/7 dining,Free parking,Free Wi-Fi,,·,Temporarily closed,"₱3,487",
New Era Pension Inn,3.7,(107),2-star hotel,Casual lodging with dining & water views,Free parking,Free Wi-Fi,,·,Temporarily closed,"₱2,067",
OYO 569 Alt Complex,4.4,(17),Hotel,,,,,·,Temporarily closed,,
Harolds,4.6,(9),4-star hotel,,Free Wi-Fi,,,·,Temporarily closed,,
Holiday Plaza Hotel,3.6,(216),3-star hotel,Relaxed lodging with low-key dining,Free parking,Free Wi-Fi,,·,Temporarily closed,,
The Center Suites,4.0,(270),2-star hotel,Simple budget hotel with a chapel,Free parking,Free Wi-Fi,,·,Temporarily closed,,
Well Hotel,3.9,(138),2-star hotel,,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,,
Mad Monkey Hostel Cebu City,4.6,(501),Hostel,,Pool,Spa,Free parking,·,Temporarily closed,,
Main Hotel and Suites,4.1,(299),3-star hotel,Relaxed lodging with low-key dining,Free breakfast,,,·,Temporarily closed,"₱1,538",
Azia Suites & Residences,4.0,(328),3-star hotel,Modest hotel with free breakfast,Free parking,Free Wi-Fi,,·,Temporarily closed,"₱2,699",
Quest Hotel and Conference Center - Cebu,4.3,"(2,827)",3-star hotel,Informal lodging with dining & a pool,Pool,Free Wi-Fi,,·,Temporarily closed,,
Elegant Circle Inn,3.7,(299),3-star hotel,Casual hotel with a free airport shuttle,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,"₱1,390",
Tropical Hostel Cebu Center,3.6,(64),2-star hotel,,,,,·,Temporarily closed,₱729,
Pillows Hotel,4.0,(385),3-star hotel,Laid-back lodging with a cafe & a gym,Free parking,Free Wi-Fi,,·,,,
Red Planet Cebu,4.0,"(1,056)",2-star hotel,Casual budget hotel with free Wi-Fi,Free parking,Free Wi-Fi,,·,,,
RedDoorz near Cebu Metropolitan Cathedral,3.4,(18),Apartment building,,Free Wi-Fi,,,·,Temporarily closed,,
